d%,Oggetto,Prezzo,Fonte
01-09,Anello della Resistenza all'Energia Maggiore,28.000 mo,Manuale di Gioco
10-16,Anello dell'Ecclesiarca,28.500 mo,Guida all'Equipaggiamento
-,Anello degli Incantesimi Trascendenti,30.000 mo,Avventure Mitiche
-,Anello dell'Attenuazione dell'Energia,31.500 mo,Avventure Mitiche
17-33,Anello di Protezione +4,32.000 mo,Manuale di Gioco
34-39,Anello del Ritorno,33.600 mo,Guida all'Equipaggiamento
40-55,Anello della LibertÃ di Movimento,40.000 mo,Manuale di Gioco
56-70,Anello della Stregoneria II,40.000 mo,Manuale di Gioco
71-75,Anello della Tempra Interiore Maggiore,42.000 mo,Guida all'Equipaggiamento
76-92,Anello della Resistenza all'Energia Superiore,44.000 mo,Manuale di Gioco
93-100,Anello del Destino Ritardato,45.000 mo,Guida del Giocatore
