d%,Oggetto,Prezzo,Fonte
-,Anello della Padronanza Parapsichica,50.000 mo,Avventure Occulte
01-06,Anello dello Scudo Amico,50.000 mo,Manuale di Gioco
07-18,Anello di Protezione +5,50.000 mo,Manuale di Gioco
19-27,Anello delle Stelle Cadenti,50.000 mo,Manuale di Gioco
28-37,Anello Accumula Incantesimi,50.000 mo,Manuale di Gioco
38-43,Anello della Continuazione,56.000 mo,Guida all'Equipaggiamento
44-48,Anello della Tempra Interiore Superiore,66.000 mo,Guida all'Equipaggiamento
49-57,Anello della Stregoneria III,70.000 mo,Manuale di Gioco
58-63,Anelli Spiritualisti,70.000 mo,Guida all'Equipaggiamento
64-71,Anello della Telecinesi,75.000 mo,Manuale di Gioco
72-76,Anello della Rigenerazione,90.000 mo,Manuale di Gioco
77-82,Anello Rifletti Incantesimo,100.000 mo,Manuale di Gioco
83-86,Anello della Stregoneria IV,100.000 mo,Manuale di Gioco
87-90,Anello dei Tre Desideri,120.000 mo,Manuale di Gioco
91-93,Anello del Richiamo del Djinni,125.000 mo,Manuale di Gioco
-,Anello della Psiche Nascosta,160.000 mo,Avventure Occulte
94-97,Anello del Comando degli Elementi,200.000 mo,Manuale di Gioco
98-100,Anello Accumula Incantesimi Maggiore,200.000 mo,Manuale di Gioco
