d%,Oggetto,Prezzo,Fonte
01-02,Anello delle Zanne di Forza,8.000 mo,Guida del Giocatore
03-06,Anello dello Scudo Mentale,8.000 mo,Manuale di Gioco
07-11,Anello di Protezione +2,8.000 mo,Manuale di Gioco
12-13,Anello Fiacca Forze,8.000 mo,Guida all'Equipaggiamento
-,Anello dell'AffinitÃ di Evocazione (Inevitabili),8.100 mo,Guida alle Classi
14-17,Anello dello Scudo di Forza,8.500 mo,Manuale di Gioco
-,Anello dell'AffinitÃ di Evocazione (Qlippoth),8.600 mo,Guida alle Classi
18-22,Anello dell'Ariete,8.600 mo,Manuale di Gioco
23-24,Anello dello Studioso,8.700 mo,Guida all'Equipaggiamento
-,Anello dell'AffinitÃ di Evocazione (Div),9.100 mo,Guida alle Classi
25-27,Anello dello Scalare Migliorato,10.000 mo,Manuale di Gioco
28-29,Anello della Cura,10.000 mo,Guida all'Equipaggiamento
30-31,Anello Focalizza Nemico,10.000 mo,Guida all'Equipaggiamento
32-35,Anello del Saltare Migliorato,10.000 mo,Manuale di Gioco
36-37,Anello della Padronanza Ki,10.000 mo,Guida all'Equipaggiamento
38-40,Anello della Rivelazione Minore,10.000 mo,Guida del Giocatore
41-43,Anello del Nuotare Migliorato,10.000 mo,Manuale di Gioco
-,Anello dell'AffinitÃ di Evocazione (Daemon),10.600 mo,Guida alle Classi
44-46,Anello dell'Amicizia con gli Animali,10.800 mo,Manuale di Gioco
47-48,Anello della Trasposizione,10.800 mo,Guida all'Equipaggiamento
49-50,Anello della Precisione Tattica,11.000 mo,Guida all'Equipaggiamento
51-52,Anello della Ricercatezza,11.000 mo,Guida alle Razze
53-55,Anello Adescatore,12.000 mo,Guida all'Equipaggiamento
56-58,Anello della Magia Artigiana,12.000 mo,Guida alle Razze
59-61,Anello del Ringiovanimento Ectoplasmatico,12.000 mo,Guida all'Equipaggiamento
62-64,Anello della Resistenza all'Energia Minore,12.000 mo,Manuale di Gioco
65-67,Anello del Troglodita,12.000 mo,Guida all'Equipaggiamento
68-70,Cerchio delle Mani d'Acciaio,12.000 mo,Guida all'Equipaggiamento
71-76,Anello del Potere del Camaleonte,12.700 mo,Manuale di Gioco
-,Anello dell'Armonizzazione Naturale (Drachi),12.888 mo,Guida alle Classi
77-79,Anello della Conoscenza degli Incantesimi III,13.500 mo,Guida all'Equipaggiamento
80-82,Anello dell'Andatura nel Mare,14.000 mo,Guida all'Equipaggiamento
83-85,Anello del Castigo,15.000 mo,Guida del Giocatore
86-89,Anello del Camminare sull'Acqua,15.000 mo,Manuale di Gioco
-,Anello della Resilienza,15.000 mo,Guida alle Classi
90-95,Anello della Prigione del Carceriere,16.000 mo,Guida del Giocatore
96-100,Anello della Rivelazione Maggiore,16.000 mo,Guida del Giocatore
