d%,Oggetto,Prezzo,Fonte
01-04,Anello della Tempra Interiore Minore,18.000 mo,Guida all'Equipaggiamento
05-16,Anello di Protezione +3,18.000 mo,Manuale di Gioco
17-26,Anello Accumula Incantesimi Minore,18.000 mo,Manuale di Gioco
27-30,Anello del Sudario di Energia,19.500 mo,Guida all'Equipaggiamento
31-35,Anello della Padronanza Arcana,20.000 mo,Guida all'Equipaggiamento
36-46,Anello dell'InvisibilitÃ,20.000 mo,Manuale di Gioco
47-54,Anello della Stregoneria I,20.000 mo,Manuale di Gioco
55-60,Anello della Rivelazione Superiore,24.000 mo,Guida del Giocatore
61-68,Anello della Conoscenza degli Incantesimi IV,24.000 mo,Guida all'Equipaggiamento
69-80,Anello di Eludere,25.000 mo,Manuale di Gioco
81-88,Anello della Visione a Raggi X,25.000 mo,Manuale di Gioco
89-100,Anello dell'Intermittenza,27.000 mo,Manuale di Gioco
