d%,Oggetto,Prezzo,Fonte
01-07,Anello della Prigione del Prigioniero,250 mo,Guida del Giocatore
08-16,Anello dei Sigilli Arcani,1.000 mo,Guida del Giocatore
17-23,Anello della Conoscenza degli Incantesimi I,1.500 mo,Guida all'Equipaggiamento
26-40,Anello di Protezione +1,2.000 mo,Manuale di Gioco
41-47,Anello dell'Avida Tomba,2.000 mo,Guida all'Equipaggiamento
-,Anello della Magia di Stirpe Persistente,2.000 mo,Guida alle Classi
48-57,Anello della Caduta Morbida,2.200 mo,Manuale di Gioco
58-66,Anello dello Scalare,2.500 mo,Manuale di Gioco
67-75,Anello del Saltare,2.500 mo,Manuale di Gioco
76-84,Anello del Sostentamento,2.500 mo,Manuale di Gioco
85-93,Anello del Nuotare,2.500 mo,Manuale di Gioco
-,Anello dell'Armonizzazione Naturale (Leshy),2.800 mo,Guida alle Classi
94-100,Anello dell'Azione Intensa,3.000 mo,Guida alle Razze
-,Anello della Magia di Stirpe Poderosa,3.000 mo,Guida alle Classi
-,Anello dell'Eloquenza,3.500 mo,Guida alle Classi
