d%,Oggetto,Prezzo,Fonte
01-15,Anello dei Controincantesimi,4.000 mo,Manuale di Gioco
-,Anello della Magia di Stirpe Ancestrale,4.000 mo,Guida alle Classi
16-25,Anello dei Folli Congegni,5.000 mo,Guida del Giocatore
26-35,Anello delle Zanne di Ratto,5.000 mo,Guida alle Razze
-,Anello della Magia di Stirpe Vendicativa,5.400 mo,Guida alle Classi
36-52,Anello di Vischio Sacro,6.000 mo,Guida all'Equipaggiamento
53-69,Anello della Conoscenza degli Incantesimi II,6.000 mo,Guida all'Equipaggiamento
70-86,Anello del Nugolo di Colpi,6.000 mo,Guida alle Razze
87-100,Anello della Padronanza della Grinta,6.840 mo,Guida all'Equipaggiamento
-,Anello dell'AffinitÃ di Evocazione (Arconti),7.000 mo,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Angeli),7.200 mo,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Protean),7.200 mo,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Kyton),7.300 mo,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Asura),7.600 mo,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Psicopompi),7.600 mo,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Agathion),7.700 mo,Guida alle Classi
-,Anello dell'Armonizzazione Naturale (Kami),7.800 mo,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Eoni),7.800 mo,Guida alle Classi
