d%,Oggetto,Prezzo,Fonte
-,Armatura della Camminata Spirituale,25.160 mo,Avventure Mitiche
01-10,Corazza di Piastre del Comando,25.400 mo,Manuale di Gioco
11-14,Corazza di Bande Derelitta,25.400 mo,Guida del Giocatore
15-24,Armatura in Mithral della VelocitÃ,26.500 mo,Manuale di Gioco
25-28,Guardiana dei Boschi,29.350 mo,Guida all'Equipaggiamento
29-32,Corazza di Piastre di Scarabeo,32.350 mo,Guida all'Equipaggiamento
-,Armatura Completa del Cadavere,35.650 mo,Guida alle Classi
33-38,Armatura di Pelle di Gigante (Ogre),39.165 mo,Guida del Giocatore
39-42,Pelle di Hamatula,44.215 mo,Guida all'Equipaggiamento
43-48,Armatura di Pelle di Gigante (Gigante delle Colline),46.665 mo,Guida del Giocatore
49-52,Armatura Demoniaca,52.260 mo,Manuale di Gioco
53-58,"Armatura di Pelle di Gigante (Gigante del Fuoco, del Gelo o delle Rocce)",54.165 mo,Guida del Giocatore
59-64,Armatura di Pelle di Gigante (Troll),59.165 mo,Guida del Giocatore
65-70,Cotta della Malevolenza,61.300 mo,Guida all'Equipaggiamento
71-76,Armatura di Pelle di Gigante (Gigante delle Nuvole),69.165 mo,Guida del Giocatore
77-82,Armatura di Pelle di Gigante (Gigante delle Tempeste),76.665 mo,Guida del Giocatore
83-88,Mezza Armatura Stella del Giorno,81.250 mo,Guida del Giocatore
89-96,Armatura Invincibile,137.650 mo,Guida all'Equipaggiamento
97-100,Armatura Completa Prismatica,160.650 mo,Guida all'Equipaggiamento
