d%,Oggetto,Prezzo,Fonte
01-12,Spada Ruba Nove Vite,23.057 mo,Manuale di Gioco
13-26,Ascia Debilitante,23.310 mo,Guida del Giocatore
-,Pugnale dei Mille Morsi,24.502 mo,Avventure Mitiche
27-40,Richiama Spiriti,25.302 mo,Guida all'Equipaggiamento
41-55,Martello del Legame Nanico,25.312 mo,Guida all'Equipaggiamento
56-70,Arco del Giuramento,25.600 mo,Manuale di Gioco
71-85,Spada del Furto Vitale,25.715 mo,Manuale di Gioco
-,Stocco del Movimento Tattico,30.320 mo,Guida alle Classi
-,Lama della Dea del Fuoco,33.315 mo,Avventure Mitiche
86-100,Apprendista della Spietatezza,33.910 mo,Guida all'Equipaggiamento
