d%,Oggetto,Prezzo,Fonte
01-02,Lamento del Ghoul,35.312 mo,Guida all'Equipaggiamento
-,Compagna del Duellante,35.320 mo,Guida alle Classi
-,Arco di Erastil,38.000 mo,Avventure Mitiche
-,Martello del Caos,38.312 mo,Avventure Mitiche
03-05,Mazza del Terrore,38.552 mo,Manuale di Gioco
06-07,Flagello Infernale,39.552 mo,Guida all'Equipaggiamento
08-09,Fato dei Draghi,40.310 mo,Guida all'Equipaggiamento
10-13,Prosciuga-Vita,40.320 mo,Manuale di Gioco
14-16,Seguace del Valore,41.335 mo,Guida all'Equipaggiamento
17-18,Sventura del Convocatore,42.816 mo,Guida all'Equipaggiamento
19-21,Scimitarra Silvana,47.315 mo,Manuale di Gioco
22-23,Lama dello Spirito,48.502 mo,Guida del Giocatore
24-26,Lancia di Durame,50.302 mo,Guida all'Equipaggiamento
27-29,Stocco Pungente,50.320 mo,Manuale di Gioco
30-32,Lama del Sole,50.335 mo,Manuale di Gioco
-,Arco del Soffio di Drago,50.375 mo,Avventure Mitiche
33-37,Lama del Sol Levante,51.850 mo,Guida all'Equipaggiamento
38-40,Spadone del Gelo,54.475 mo,Manuale di Gioco
41-45,Martello Nanico da Lancio,60.312 mo,Manuale di Gioco
46-50,Pugnale Sanguinario,60.802 mo,Guida all'Equipaggiamento
51-53,Portatore di Guerra,61.375 mo,Guida all'Equipaggiamento
54-57,Lama della Fortuna  (1  Desiderio  ),62.360 mo,Manuale di Gioco
58-61,Lama da Guardia,65.310 mo,Guida del Giocatore
-,Spezza Incantesimi,71.600 mo,Avventure Mitiche
62-64,Pistola del Cielo Infinito,73.300 mo,Guida all'Equipaggiamento
65-69,Mazza della Punizione,75.312 mo,Manuale di Gioco
70-73,Lama del Santo della Spada,75.350 mo,Guida all'Equipaggiamento
74-76,Scimitarra del Ladro di Incantesimi,75.815 mo,Guida all'Equipaggiamento
77-79,Zanna del Ragno,79.102 mo,Guida all'Equipaggiamento
80-82,Sciabola Sventura dei Demoni,90.469 mo,Guida all'Equipaggiamento
83-85,Falce del Vuoto,95.318 mo,Guida all'Equipaggiamento
-,Spuntone delle Ombre,96.600 mo,Avventure Mitiche
-,Pistola dell'Innominato,98.300 mo,Avventure Mitiche
-,Richiamatempesta,98.302 mo,Avventure Mitiche
86-89,Lama della Fortuna  (2  Desideri  ),102.660 mo,Manuale di Gioco
-,Tocco dell'Ombra,102.962 mo,Avventure Mitiche
90-92,Sacro Vendicatore,120.630 mo,Manuale di Gioco
93-96,Pungiglione del Bastardo,123.035 mo,Guida all'Equipaggiamento
97-100,Lama della Fortuna  (3  Desideri  ),142.960 mo,Manuale di Gioco
-,Spada del Fuoco Interiore,151.315 mo,Avventure Mitiche
-,Vendicatore Consacrato,202.630 mo,Avventure Mitiche
