d%,Oggetto,Prezzo,Fonte
01-09,Kukri del Salasso,6.308 mo,Guida all'Equipaggiamento
04-09,Mazza Testa di Macigno,6.812 mo,Guida del Giocatore
10-14,Randello del Colpo Bestiale,7.300 mo,Guida del Giocatore
15-20,Forcone del Guerriero,7.315 mo,Guida all'Equipaggiamento
-,Stocco dell'Intrepido,7.320 mo,Guida alle Classi
21-23,Aspersorio del Flusso Continuo,7.805 mo,Guida all'Equipaggiamento
24-28,Bastone Ferrato dell'Uragano,7.840 mo,Guida all'Equipaggiamento
29-34,Pugnale Avvelenato,8.302 mo,Manuale di Gioco
35-39,Lama Tenebrosa,8.810 mo,Guida alle Razze
40-44,Fionda Congelante,9.380 mo,Guida all'Equipaggiamento
45-49,Tridente della StabilitÃ,9.815 mo,Guida del Giocatore
50-54,Tridente dell'Avvertimento,10.115 mo,Manuale di Gioco
55-60,Pugnale dell'Assassino,10.302 mo,Manuale di Gioco
61-66,Pugnale del Raddoppio,10.302 mo,Guida all'Equipaggiamento
-,Lame per Artigli Laceranti,10.305 mo,Guida alle Razze
-,Piccone Fendipietra,11.308 mo,Avventure Mitiche
67-71,Mazzafrusto della Terra,11.315 mo,Guida all'Equipaggiamento
72-79,Ascia Bipenne Rapida di Ossidiana,11.320 mo,Guida alle Razze
80-85,Liuxing Chui della PolaritÃ,12.310 mo,Guida all'Equipaggiamento
86-93,Lama del Legame,12.350 mo,Guida del Giocatore
94-100,Sventura del Mutaforma,12.780 mo,Manuale di Gioco
