d%,Oggetto,Prezzo,Fonte
01-07,Giusarma Acchiappa Draghi,13.308 mo,Guida all'Equipaggiamento
-,Lama del Boia,13.850 mo,Guida alle Classi
08-15,Dao a Dieci Anelli,14.315 mo,Guida all'Equipaggiamento
16-21,Tridente del Tritone,15.065 mo,Guida all'Equipaggiamento
22-29,Mazza della Punizione Inferiore,16.012 mo,Guida all'Equipaggiamento
30-37,Lama Disarmante,17.802 mo,Guida all'Equipaggiamento
38-42,Sferza dell'Ululatore,18.305 mo,Guida all'Equipaggiamento
43-47,Lancia Spezzascudi,18.310 mo,Guida del Giocatore
48-53,Tridente del Comando dei Pesci,18.650 mo,Manuale di Gioco
54-59,Bastone Ferrato del Balzo,19.100 mo,Guida all'Equipaggiamento
-,Lancia della Contesa,19.502 mo,Avventure Mitiche
60-65,Pistola Drago di Fuoco,20.300 mo,Guida all'Equipaggiamento
66-71,Martello Rimbalzante,20.301 mo,Guida del Giocatore
72-77,Spada Lingua di Fuoco,20.715 mo,Manuale di Gioco
-,Ascia Brutale,21.320 mo,Avventure Mitiche
78-85,Astrum del Sentiero Scintillante,21.324 mo,Guida del Giocatore
86-90,Lama della Fortuna  (0  Desideri  ),22.060 mo,Manuale di Gioco
91-95,Spada della FurtivitÃ,22.310 mo,Manuale di Gioco
96-100,Spada dei Piani,22.315 mo,Manuale di Gioco
