d%,Oggetto,Prezzo,Fonte
01-02,Proiettile Tracciante,100 mo,Guida al Combattimento
03-08,Freccia del Sonno,132 mo,Manuale di Gioco
09-10,Proiettile Nube di Polvere,196 mo,Guida del Giocatore
11-16,Quadrello Intralciante,226 mo,Guida del Giocatore
17-22,Quadrello Urlante,267 mo,Manuale di Gioco
23-32,Pugnale d'Argento Perfetto,322 mo,Manuale di Gioco
33-34,Proiettile dell'Alchimista,330 mo,Guida all'Equipaggiamento
35-44,Spada Lunga di Ferro Freddo Perfetta,330 mo,Manuale di Gioco
45-50,Freccia Silenziante,547 mo,Guida all'Equipaggiamento
51-56,Freccia Silenziante Superiore,1.047 mo,Guida all'Equipaggiamento
57-66,Giavellotto del Fulmine,1.500 mo,Manuale di Gioco
67-74,Freccia Incandescente,1.516 mo,Guida del Giocatore
75-82,Freccia Sfrigolante,1.516 mo,Guida del Giocatore
83-84,Proiettile Scavatore Inferiore,1.722 mo,Guida al Combattimento
85-92,Quadrello della Polvere,1.730 mo,Guida all'Equipaggiamento
93-100,Freccia Assassina,2.282 mo,Manuale di Gioco
