d%,Capacità speciale,Prezzo,Fonte
01-08,Adesiva,+7.000 mo,Guida all'Equipaggiamento
09-15,Attaccabrighe,Bonus +3,Guida all'Equipaggiamento
16-22,Ospitale,+7.500 mo,Guida all'Equipaggiamento
23-31,Brillante,+7.500 mo,Guida all'Equipaggiamento
32-40,Scavatrice,+10.000 mo,Guida all'Equipaggiamento
41-48,Putrida,+10.000 mo,Guida all'Equipaggiamento
49-57,Fortificazione (Moderata),Bonus +3,Manuale di Gioco
58-66,Tocco Fantasma,Bonus +3,Manuale di Gioco
67-75,InvulnerabilitÃ,Bonus +3,Manuale di Gioco
76-84,Resistenza agli Incantesimi (15),Bonus +3,Manuale di Gioco
85-92,Titanica,Bonus +3,Guida all'Equipaggiamento
93-100,Selvatica,Bonus +3,Manuale di Gioco
-,Rancorosa,+7.000 mo,Guida alle Classi
-,Irrintracciabile,+7.500 mo,Guida alle Classi
-,Percettiva,Bonus +3,Guida alle Classi
