d%,Capacità speciale,Prezzo,Fonte
01,Avanzante,Bonus +2,Guida all'Equipaggiamento
02-10,Anarchica,Bonus +2,Manuale di Gioco
11-19,Ancorante,Bonus +2,Guida all'Equipaggiamento
20,Assiomatica,Bonus +2,Manuale di Gioco
21-27,Esplosione Corrosiva,Bonus +2,Guida del Giocatore
28,Sprezzante,Bonus +2,Guida all'Equipaggiamento
29,Esplosione Dissolvente,Bonus +2,Guida all'Equipaggiamento
30-38,Distruzione  2,Bonus +2,Manuale di Gioco
39-47,Esplosione di Fiamme,Bonus +2,Manuale di Gioco
48,Furia Innata,Bonus +2,Guida all'Equipaggiamento
49,Gloriosa,Bonus +2,Guida all'Equipaggiamento
50-58,Sacra,Bonus +2,Manuale di Gioco
59-67,Esplosione di Ghiaccio,Bonus +2,Manuale di Gioco
68,Incendiaria,Bonus +2,Guida alle Razze
69,Impatto  4,Bonus +2,Guida all'Equipaggiamento
70,Rinvigorente,Bonus +2,Guida all'Equipaggiamento
71,Intensifica Ki,Bonus +2,Guida all'Equipaggiamento
72,Impulso Vitale,Bonus +2,Guida all'Equipaggiamento
73,Negante,Bonus +2,Guida all'Equipaggiamento
74,Blocca Fase,Bonus +2,Guida all'Equipaggiamento
75-83,Esplosione Folgorante,Bonus +2,Manuale di Gioco
84,Posta,Bonus +2,Guida all'Equipaggiamento
85-91,Sacrilega,Bonus +2,Manuale di Gioco
92-100,Ferimento,Bonus +2,Manuale di Gioco
-,Distraente Superiore,Bonus +2,Guida alle Classi
-,Mietitrice,Bonus +2,Avventure Mitiche
-,Possente,Bonus +2,Avventure Mitiche
