d%,Oggetto,Prezzo,Fonte
01-02,Freccia Acida,4.500 mo,Manuale di Gioco
03,Aiuto,4.500 mo,Manuale di Gioco
04-05,Alterare Se Stesso,4.500 mo,Manuale di Gioco
06-07,Pelle Coriacea,4.500 mo,Manuale di Gioco
08-10,Resistenza dell'Orso,4.500 mo,Manuale di Gioco
11,Sfocatura,4.500 mo,Manuale di Gioco
12-14,Forza del Toro,4.500 mo,Manuale di Gioco
15-16,Grazia del Gatto,4.500 mo,Manuale di Gioco
17-22,Cura Ferite Moderate,4.500 mo,Manuale di Gioco
23-25,OscuritÃ,4.500 mo,Manuale di Gioco
26,Scurovisione,4.500 mo,Manuale di Gioco
27,Ritarda Veleno,4.500 mo,Manuale di Gioco
28-29,Splendore dell'Aquila,4.500 mo,Manuale di Gioco
30,Vita Falsata,4.500 mo,Manuale di Gioco
31,Scopri Trappole,4.500 mo,Manuale di Gioco
32,Lama Infuocata,4.500 mo,Manuale di Gioco
33,Sfera Infuocata,4.500 mo,Manuale di Gioco
34-35,Nube di Nebbia,4.500 mo,Manuale di Gioco
36-37,Astuzia della Volpe,4.500 mo,Manuale di Gioco
38,Polvere Luccicante,4.500 mo,Manuale di Gioco
39-40,Riscaldare il Metallo,4.500 mo,Manuale di Gioco
41-43,Blocca Persone,4.500 mo,Manuale di Gioco
44-46,Infliggi Ferite Moderate,4.500 mo,Manuale di Gioco
47-51,InvisibilitÃ,4.500 mo,Manuale di Gioco
52,Scassinare,4.500 mo,Manuale di Gioco
53-54,Levitazione,4.500 mo,Manuale di Gioco
55,Immagine Minore,4.500 mo,Manuale di Gioco
56-57,Immagine Speculare,4.500 mo,Manuale di Gioco
58-59,Saggezza del Gufo,4.500 mo,Manuale di Gioco
60,Pirotecnica,4.500 mo,Manuale di Gioco
61,Rimuovi Paralisi,4.500 mo,Manuale di Gioco
62-64,Resistere all'Energia,4.500 mo,Manuale di Gioco
65-66,Ristorare Inferiore,4.500 mo,Manuale di Gioco
67-71,Raggio Rovente,4.500 mo,Manuale di Gioco
72-73,Vedere InvisibilitÃ,4.500 mo,Manuale di Gioco
74,Frantumare,4.500 mo,Manuale di Gioco
75-76,Scudo su Altri,4.500 mo,Manuale di Gioco
77-78,Silenzio,4.500 mo,Manuale di Gioco
79-81,Suono Dirompente,4.500 mo,Manuale di Gioco
82-83,Movimenti del Ragno,4.500 mo,Manuale di Gioco
84-86,Arma Spirituale,4.500 mo,Manuale di Gioco
87-88,Evoca Mostri II,4.500 mo,Manuale di Gioco
89-90,Evoca Alleato Naturale II,4.500 mo,Manuale di Gioco
91-92,Evoca Sciame,4.500 mo,Manuale di Gioco
93-96,Ragnatela,4.500 mo,Manuale di Gioco
97,Vento Sussurrante,4.500 mo,Manuale di Gioco
98-99,Presagio,4.500 mo,Manuale di Gioco
100,Trappola di Fuoco,4.500 mo,Manuale di Gioco
