d%,Oggetto,Prezzo,Fonte
01-06,Sigillo Arcano,375 mo,Manuale di Gioco
07-15,Dissanguare,375 mo,Manuale di Gioco
16-22,Luci Danzanti,375 mo,Manuale di Gioco
23-31,Individuazione del Veleno,375 mo,Manuale di Gioco
32-40,Distruggere Non Morti,375 mo,Manuale di Gioco
41-48,Lampo,375 mo,Manuale di Gioco
49-56,Guida,375 mo,Manuale di Gioco
57-65,Conoscere Direzione,375 mo,Manuale di Gioco
66-73,Ninna Nanna,375 mo,Manuale di Gioco
74-79,Aprire/Chiudere,375 mo,Manuale di Gioco
80-86,Resistenza,375 mo,Manuale di Gioco
87-94,Scintilla,375 mo,Guida del Giocatore
95-100,VirtÃ¹,375 mo,Manuale di Gioco
