d%,Oggetto,Prezzo,Fonte
01-04,Bastone d'Illuminazione,51.500 mo,Manuale di Gioco
05-07,Bastone degli Ostacoli,52.850 mo,Guida del Giocatore
08-10,Bastone del Cielo e della Terra,54.000 mo,Guida all'Equipaggiamento
11-13,Bastone del Viaggio,54.400 mo,Guida all'Equipaggiamento
14-15,Bastone dell'Accumulo,55.866 mo,Guida del Giocatore
16-17,Bastone della Furia Ridacchiante,56.700 mo,Guida del Giocatore
18-19,Bastone delle Trappole,56.925 mo,Guida del Giocatore
20-21,Bastone dei Molti Raggi,57.200 mo,Guida del Giocatore
22-23,Bastone dell'Oratoria,57.200 mo,Guida all'Equipaggiamento
23-25,Bastone della Potenza del Mithral,58.000 mo,Guida all'Equipaggiamento
26-29,Bastone della Difesa,62.000 mo,Manuale di Gioco
30-32,Bastone dei Piani,63.960 mo,Guida all'Equipaggiamento
33-35,Bastone delle Ombre Fameliche,69.300 mo,Guida all'Equipaggiamento
36-38,Bastone Draconico,81.000 mo,Guida all'Equipaggiamento
39-41,Bastone della Sonnolenza,81.766 mo,Guida del Giocatore
42-46,Bastone dell'Abiurazione,82.000 mo,Manuale di Gioco
47-51,Bastone dell'Evocazione,82.000 mo,Manuale di Gioco
52-56,Bastone della Divinazione,82.000 mo,Manuale di Gioco
57-61,Bastone dell'Ammaliamento,82.000 mo,Manuale di Gioco
62-66,Bastone dell'Invocazione,82.000 mo,Manuale di Gioco
67-71,Bastone dell'Illusione,82.000 mo,Manuale di Gioco
72-76,Bastone della Necromanzia,82.000 mo,Manuale di Gioco
77-81,Bastone della Trasmutazione,82.000 mo,Manuale di Gioco
82-83,Bastone del Tempo Atmosferico,84.066 mo,Guida del Giocatore
84-86,Bastone della Terra e Pietra,85.800 mo,Manuale di Gioco
87-88,Bastone della Visione,86.666 mo,Guida del Giocatore
89-91,Bastone dei Boschi,100.400 mo,Manuale di Gioco
92-94,Bastone della Vita,109.400 mo,Manuale di Gioco
95,Bastone delle Cento Mani,180.200 mo,Guida all'Equipaggiamento
-,Bastone Vril,200.000 mo,Avventure Occulte
96-98,Bastone del Passaggio,206.900 mo,Manuale di Gioco
99,Bastone del Gerofante,220.000 mo,Guida all'Equipaggiamento
100,Bastone del Potere,235.000 mo,Manuale di Gioco
