d%,Oggetto,Prezzo,Fonte
01-04,Bastone dell'Acido,28.600 mo,Guida all'Equipaggiamento
05-08,Bastone Caotico,29.600 mo,Guida all'Equipaggiamento
09-11,Bastone Sacro,29.600 mo,Guida all'Equipaggiamento
12-14,Bastone Legale,29.600 mo,Guida all'Equipaggiamento
15-17,Bastone della Guarigione,29.600 mo,Manuale di Gioco
18-21,Bastone Sacrilego,29.600 mo,Guida all'Equipaggiamento
22-24,Bastone del Maestro,30.000 mo,Guida all'Equipaggiamento
25-28,Bastone dei Ragni,30.200 mo,Guida all'Equipaggiamento
29-32,Bastone dell'ElettricitÃ,31.900 mo,Guida all'Equipaggiamento
33-36,Anatema dell'Eretico,32.000 mo,Guida all'Equipaggiamento
37-39,Bastone Musicale,32.000 mo,Guida all'Equipaggiamento
40-42,Bastone delle Anime,32.800 mo,Guida del Giocatore
43-46,Bastone delle Tossine,34.200 mo,Guida del Giocatore
47-50,Bastone delle Grida,28.800 mo,Guida del Giocatore
51-54,Bastone del Vendicatore,37.310 mo,Guida all'Equipaggiamento
55-58,Bastone degli Aspetti,37.600 mo,Guida all'Equipaggiamento
59-62,Bastone della FurtivitÃ,39.300 mo,Guida del Giocatore
67-70,Bastone del Gelo,41.400 mo,Manuale di Gioco
71-74,Bastone del Sostegno,41.600 mo,Guida del Giocatore
75-78,Bastone delle Maledizioni,43.500 mo,Guida all'Equipaggiamento
79-85,Bastone della Fiamma Oscura,47.000 mo,Guida all'Equipaggiamento
90-93,Bastone dell'Esibizione,48.800 mo,Guida del Giocatore
94-97,Bastone dell'Animazione,49.800 mo,Guida all'Equipaggiamento
98-100,Bastone delle Rivelazioni,51.008 mo,Guida del Giocatore
