d%,Oggetto,Prezzo,Fonte
01-10,Bastone del Conforto Benedetto,7.200 mo,Guida all'Equipaggiamento
11-20,Bastone dell'Arcano Minore,8.000 mo,Guida all'Equipaggiamento
21-30,Bastone dei Trucchi,8.800 mo,Guida all'Equipaggiamento
31-44,Bastone dell'Esploratore,9.600 mo,Guida all'Equipaggiamento
-,Bastone della Mostrificazione,12.000 mo,Guida alle Classi
-,Vanga del Becchino,12.150 mo,Guida alle Classi
-,Bastone delle Scintille,12.650 mo,Guida alle Classi
-,Bastone delle Braci,13.100 mo,Guida alle Classi
45-54,Bastone degli Eidolon,14.400 mo,Guida all'Equipaggiamento
55-67,Bastone della Comprensione,14.400 mo,Guida all'Equipaggiamento
68-84,Bastone dell'Accompagnamento,14.800 mo,Guida all'Equipaggiamento
85-100,Bastone dello Charme,17.600 mo,Manuale di Gioco
