d%,Oggetto,Prezzo,Fonte
01-11,Bastone del Fuoco,18.950 mo,Manuale di Gioco
12-21,Bastone della Denigrazione,20.000 mo,Guida all'Equipaggiamento
22-29,Bastone del Coraggio,20.800 mo,Guida all'Equipaggiamento
30-38,Bastone dell'Abbondanza e della Carestia,20.800 mo,Guida all'Equipaggiamento
39-49,Bastone del Rigore,20.800 mo,Guida del Giocatore
50-60,Bastone dello Sciame di Insetti,22.800 mo,Manuale di Gioco
61-68,Bastone dell'AutoritÃ,23.000 mo,Guida all'Equipaggiamento
69-81,Bastone della RadiositÃ,23.200 mo,Guida all'Equipaggiamento
82-92,Bastone dell'Alterazione della Taglia,26.150 mo,Manuale di Gioco
93-100,Bastone dei Viaggi,27.200 mo,Guida all'Equipaggiamento
