d%,Oggetto,Prezzo,Fonte
01-03,Sfera di Cristallo  con  Vedere InvisibilitÃ,50.000 mo,Manuale di Gioco
04-05,Corno del Valhalla,50.000 mo,Manuale di Gioco
-,Libro dell'Esilio,50.000 mo,Avventure Mitiche
-,Pietra Runica del Potere (5Â°),50.000 mo,Guida alle Classi
-,Stendardo da Battaglia Hobgoblin della Disperazione,50.000 mo,Guida alle Razze
06-08,Sfera di Cristallo  con  Individuazione dei Pensieri,51.000 mo,Manuale di Gioco
09,Ultime Foglie della Driade Autunnale,52.000 mo,Guida all'Equipaggiamento
10-11,Fortezza Istantanea,55.000 mo,Manuale di Gioco
12-15,Manuale della Salute +2,55.000 mo,Manuale di Gioco
16-19,Manuale dell'Esercizio Fisico +2,55.000 mo,Manuale di Gioco
20-23,Manuale della VelocitÃ di Azione +2,55.000 mo,Manuale di Gioco
24-27,Tomo del Chiaro Pensiero +2,55.000 mo,Manuale di Gioco
28-31,Tomo del Comando e dell'Influenza +2,55.000 mo,Manuale di Gioco
32-35,Tomo della Comprensione +2,55.000 mo,Manuale di Gioco
36,Stendardo del Signore (Terrore),56.000 mo,Guida del Giocatore
37,Tappeto Volante (3 m x 3 m),60.000 mo,Manuale di Gioco
38-39,Teschioscuro,60.000 mo,Manuale di Gioco
40,Globo della Legge Pura,60.000 mo,Guida all'Equipaggiamento
-,Statuina delle Meraviglie  (  Drago di Basalto  ),60.000 mo,Avventure Mitiche
-,Stendardo da Battaglia Hobgoblin della Ferocia,60.000 mo,Guida alle Razze
41,Cubo di Forza,62.000 mo,Manuale di Gioco
42-43,Pagina della Conoscenza Magica (8Â°),64.000 mo,Guida all'Equipaggiamento
44-49,Perla del Potere (8Â°),64.000 mo,Manuale di Gioco
-,Reticolo Incantato (8Â°),64.000 mo,Guida alle Classi
-,Lira delle Tempeste,65.000 mo,Avventure Mitiche
50,Sfera di Cristallo con Telepatia,70.000 mo,Manuale di Gioco
51,Corno della Distruzione (Superiore),70.000 mo,Manuale di Gioco
52-54,Perla del Potere (due incantesimi),70.000 mo,Manuale di Gioco
-,Pietra Runica del Potere (6Â°),72.000 mo,Guida alle Classi
55,Gemma della Visione,75.000 mo,Manuale di Gioco
56,Stendardo del Signore (Vittoria),75.000 mo,Guida del Giocatore
57,Sfera di Cristallo  con  Visione del Vero,80.000 mo,Manuale di Gioco
-,Globo Oculare,80.000 mo,Avventure Mitiche
-,Slitta Volante,80.000 mo,Avventure Occulte
58-59,Pagina della Conoscenza Magica (9Â°),81.000 mo,Guida all'Equipaggiamento
60-62,Perla del Potere (9Â°),81.000 mo,Manuale di Gioco
-,Reticolo Incantato (9Â°),81.000 mo,Guida alle Classi
63,Pozzo dei Mondi,82.000 mo,Manuale di Gioco
64-65,Manuale della Salute +3,82.500 mo,Manuale di Gioco
66-67,Manuale dell'Esercizio Fisico +3,82.500 mo,Manuale di Gioco
68-69,Manuale della VelocitÃ di Azione +3,82.500 mo,Manuale di Gioco
70-71,Tomo del Chiaro Pensiero +3,82.500 mo,Manuale di Gioco
72-73,Tomo del Comando e dell'Influenza +3,82.500 mo,Manuale di Gioco
74-75,Tomo della Comprensione +3,82.500 mo,Manuale di Gioco
-,Trovapreda,85.000 mo,Guida alle Classi
76,Apparato del Granchio,90.000 mo,Manuale di Gioco
77,Catino dell'Evocazione Elementale dell'Acqua,90.000 mo,Guida all'Equipaggiamento
78,Braciere dell'Evocazione Elementale del Fuoco,90.000 mo,Guida all'Equipaggiamento
79,Incensiere dell'Evocazione Elementale dell'Aria,90.000 mo,Guida all'Equipaggiamento
80,Pietra dell'Evocazione Elementale della Terra,90.000 mo,Guida all'Equipaggiamento
-,Testa Rimpicciolita,90.000 mo,Avventure Occulte
81,Specchio dell'Antagonismo,92.000 mo,Manuale di Gioco
82,Collana della Preghiera (Superiore),95.800 mo,Manuale di Gioco
-,Pietra Runica del Potere (7Â°),98.000 mo,Guida alle Classi
83,Stendardo del Signore (Crociate),100.000 mo,Guida del Giocatore
84,Manuale della Salute +4,110.000 mo,Manuale di Gioco
85,Manuale dell'Esercizio Fisico +4,110.000 mo,Manuale di Gioco
86,Manuale della VelocitÃ di Azione +4,110.000 mo,Manuale di Gioco
87,Tomo del Chiaro Pensiero +4,110.000 mo,Manuale di Gioco
88,Tomo del Comando e dell'Influenza +4,110.000 mo,Manuale di Gioco
89,Tomo della Comprensione +4,110.000 mo,Manuale di Gioco
-,Pietra Runica del Potere (8Â°),128.000 mo,Guida alle Classi
90,Manuale della Salute +5,137.500 mo,Manuale di Gioco
91,Manuale dell'Esercizio Fisico +5,137.500 mo,Manuale di Gioco
92,Manuale della VelocitÃ di Azione +5,137.500 mo,Manuale di Gioco
93,Tomo del Chiaro Pensiero +5,137.500 mo,Manuale di Gioco
94,Tomo del Comando e dell'Influenza +5,137.500 mo,Manuale di Gioco
95,Tomo della Comprensione +5,137.500 mo,Manuale di Gioco
96,Ampolla dell'Efreeti,145.000 mo,Manuale di Gioco
97,Cubo dei Portali,164.000 mo,Manuale di Gioco
-,Pietra Runica del Potere (9Â°),162.000 mo,Guida alle Classi
98,Ampolla di Ferro,170.000 mo,Manuale di Gioco
99,Specchio della Prodezza Mentale,175.000 mo,Guida all'Equipaggiamento
-,Schifo Volante,180.000 mo,Avventure Occulte
100,Specchio Imprigionante,200.000 mo,Manuale di Gioco
