d%,Oggetto,Prezzo,Fonte
-,Cintura delle Manovre Superiori +2,8.000 mo,Guida alle Classi
01-04,Cintura del Serpente,9.000 mo,Guida all'Equipaggiamento
05-08,Cintura della Scimmia,9.400 mo,Guida all'Equipaggiamento
09-16,Cintura della Potenza Fisica +2,10.000 mo,Manuale di Gioco
17-22,Cintura della Donnola,10.000 mo,Guida all'Equipaggiamento
23-27,Cintura della Carica Tonante,10.000 mo,Guida all'Equipaggiamento
28-32,Cintura del Minotauro,11.000 mo,Guida all'Equipaggiamento
33-36,Cintura Piaga del Ratto Superiore,11.200 mo,Guida all'Equipaggiamento
37-41,Cintura dell'Equilibrio,12.000 mo,Guida all'Equipaggiamento
42-46,Cintura della Sicurezza,12.500 mo,Guida all'Equipaggiamento
47-51,Cintura del Lancio Potente Minore,14.000 mo,Guida all'Equipaggiamento
52-57,Cintura Nanica,14.900 mo,Manuale di Gioco
58-61,Cordone della Determinazione Ostinata,15.000 mo,Guida all'Equipaggiamento
62-71,Cintura della Forza del Gigante +4,16.000 mo,Manuale di Gioco
72-80,Cintura della Perfezione Fisica +2,16.000 mo,Manuale di Gioco
81-90,Cintura dell'AgilitÃ +4,16.000 mo,Manuale di Gioco
91-100,Cintura del Vigore +4,16.000 mo,Manuale di Gioco
