d%,Oggetto,Prezzo,Fonte
01-08,Amuleto dell'Armatura Naturale +2,8.000 mo,Manuale di Gioco
09-12,Amuleto Anti-pietrificazione,8.000 mo,Guida all'Equipaggiamento
13-15,Amuleto Semprevigile,8.000 mo,Guida all'Equipaggiamento
16-18,Pendente del Guardiano delle Tombe,8.000 mo,Guida all'Equipaggiamento
19-23,Mano della Gloria,8.000 mo,Manuale di Gioco
24-26,Collare della Furia del Cuor di Leone,8.000 mo,Guida del Giocatore
-,Amuleto degli Spiriti  (  Cieli  ),8.000 mo,Guida alle Classi
-,Torque dell'Ira Sanguinosa,8.000 mo,Guida alle Classi
-,Amuleto degli Spiriti  (  Vento  ),8.000 mo,Guida alle Classi
27-33,Collana delle Palle di Fuoco (Tipo VI),8.100 mo,Manuale di Gioco
34-40,Collana delle Palle di Fuoco (Tipo VII),8.700 mo,Manuale di Gioco
41-43,Amuleto della Forza Nascosta,9.000 mo,Guida all'Equipaggiamento
44-47,Collana dell'Adattamento,9.000 mo,Manuale di Gioco
-,Amuleto del Dente di Squalo,9.000 mo,Guida alle Razze
-,Amuleto del Progenitore Oscuro,9.000 mo,Guida alle Razze
-,Amuleto della Luce Nascosta,9.000 mo,Guida alle Razze
-,Talismano Superiore della LibertÃ,9.000 mo,Avventure Occulte
48-51,Amuleto dell'Astuzia Magica,10.000 mo,Guida del Giocatore
52-54,Collare del Vero Compagno,10.000 mo,Guida all'Equipaggiamento
55-58,Amuleto del Pugno del Gelo,10.000 mo,Guida all'Equipaggiamento
-,Amuleto degli Spiriti  (  Fiamma  ),10.000 mo,Guida alle Classi
-,Amuleto degli Spiriti  (  Onde  ),10.000 mo,Guida alle Classi
-,Amuleto degli Spiriti  (  Pietra  ),10.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Eletta  ),10.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Fatata  ),10.000 mo,Guida alle Classi
-,Simbolo Sacro Dorato,10.000 mo,Avventure Mitiche
59-63,Cristallo delle Mani Curative,12.000 mo,Guida del Giocatore
64-66,Gorgiera Guardiana,12.000 mo,Guida all'Equipaggiamento
67-73,Medaglione dei Pensieri,12.000 mo,Manuale di Gioco
74-77,Talismano della Protezione dalle Maledizioni,12.000 mo,Guida all'Equipaggiamento
-,Amuleto degli Spiriti  (  Battaglia  ),12.000 mo,Guida alle Classi
-,Amuleto degli Spiriti  (  Ossa  ),12.000 mo,Guida alle Classi
-,Amuleto degli Spiriti  (  Vita  ),12.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Abissale  ),12.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Celestiale  ),12.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Draconica  ),12.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Elementale  ),12.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Infernale  ),12.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Maledetta  ),12.000 mo,Guida alle Classi
-,Amuleto della Stirpe  (  Non Morta  ),12.000 mo,Guida alle Classi
-,Amuleto della Vita Incanalata,12.000 mo,Guida alle Razze
-,Gioiello Indomito,12.000 mo,Avventure Occulte
-,Talismano Superiore della Protezione dalle Fiamme,12.500 mo,Avventure Occulte
78-81,Amuleto del Pugno della Forgia,13.000 mo,Guida all'Equipaggiamento
82-85,Amuleto di Protezione dai Proiettili +3,13.500 mo,Guida al Combattimento
-,Collare Crudele Superiore,14.000 mo,Guida alle Classi
86-92,Talismano della Rimarginazione,15.000 mo,Manuale di Gioco
-,Amuleto della Stirpe  (  Aberrante  ),15.000 mo,Guida alle Classi
93-95,Amuleto dei Pugni Potenti +2,16.000 mo,Manuale di Gioco
96-98,Collana della SerenitÃ Ki,16.000 mo,Guida del Giocatore
99-100,Fermaglio delle Scintille Ambrate,16.800 mo,Guida all'Equipaggiamento
-,Talismano Superiore della Buona Fortuna,16.800 mo,Avventure Occulte
