d%,Oggetto,Prezzo,Fonte
01-08,Amuleto del Conflitto Elementale,4.000 mo,Guida all'Equipaggiamento
09-15,Amuleto del Pugno del Giusto,4.000 mo,Guida all'Equipaggiamento
16-26,Amuleto dei Pugni Potenti +1,4.000 mo,Manuale di Gioco
27-36,Collana delle Palle di Fuoco (Tipo III),4.350 mo,Manuale di Gioco
-,Talismano Superiore del Coraggio del Combattente,4.500 mo,Avventure Occulte
-,Talismano Superiore delle Evocazioni Sigillate,4.500 mo,Avventure Occulte
-,Amuleto della Difesa Prodigiosa,5.000 mo,Guida alle Classi
37-47,Collana delle Palle di Fuoco (Tipo IV),5.400 mo,Manuale di Gioco
48-55,Richiamatempeste,5.400 mo,Guida all'Equipaggiamento
56-66,Collana delle Palle di Fuoco (Tipo V),5.850 mo,Manuale di Gioco
67-73,Amuleto di Protezione dai Proiettili +2,6.000 mo,Guida al Combattimento
74-81,Collana del Figlio Fatato,6.000 mo,Guida all'Equipaggiamento
-,Talismano Superiore della Protezione delle Frecce,6.000 mo,Avventure Occulte
-,Torque della Canzone Primeva,6.000 mo,Guida alle Classi
82-89,Catena della Detenzione,7.200 mo,Guida all'Equipaggiamento
90-100,Talismano della Salute,7.400 mo,Manuale di Gioco
-,Talismano Superiore della Percezione del Pericolo,7.500 mo,Avventure Occulte
