d%,Oggetto,Prezzo,Fonte
01-10,Tunica delle Stelle,58.000 mo,Manuale di Gioco
11-15,Tunica dei Portali,64.000 mo,Guida all'Equipaggiamento
16-20,Chimono Ultraterreno,67.000 mo,Guida all'Equipaggiamento
21-40,Fasciatura dei Colpi Potenti +5,48.000 mo,Guida all'Equipaggiamento
41-51,Vesti Risplendenti del Drammaturgo,75.000 mo,Guida all'Equipaggiamento
52-67,Tunica dell'Arcimago,75.000 mo,Manuale di Gioco
-,Vesti del Penitente,95.000 mo,Avventure Mitiche
68-77,Fasciatura dei Colpi Potenti +6,108.000 mo,Guida all'Equipaggiamento
78-97,Tunica degli Occhi,120.000 mo,Manuale di Gioco
98-100,Fasciatura dei Colpi Potenti +7,147.000 mo,Guida all'Equipaggiamento
