d%,Oggetto,Prezzo,Fonte
01-09,Fascia della Seduzione +2,4.000 mo,Manuale di Gioco
10-18,Fascia dell'Ispirazione +2,4.000 mo,Manuale di Gioco
19-27,Fascia della Sapienza +2,4.000 mo,Manuale di Gioco
28-33,Fascia dell'AgilitÃ Aerea +2,4.500 mo,Guida all'Equipaggiamento
34-39,Fascia del Cambiaforma +2,4.500 mo,Guida all'Equipaggiamento
-,Fascia del Lupo,5.000 mo,Guida alle Classi
40-45,Fascia della Memoria Poderosa,5.100 mo,Guida all'Equipaggiamento
46-51,Fascia Focalizza Ki,5.400 mo,Guida all'Equipaggiamento
52-58,Fascia della Risolutezza Irremovibile,5.600 mo,Guida all'Equipaggiamento
59-66,Coroncina di Agrifoglio,5.700 mo,Guida all'Equipaggiamento
67-74,Fascia della Devozione Eterna,6.400 mo,Guida all'Equipaggiamento
75-82,Filatterio del Pastore,7.000 mo,Guida all'Equipaggiamento
83-91,Fascia dell'Intuizione,7.000 mo,Guida all'Equipaggiamento
92-100,Fascia del Favore della Sorte,7.700 mo,Guida all'Equipaggiamento
