d%,Oggetto,Prezzo,Fonte
01-12,Guanti della Manovra Esperta,4.000 mo,Guida all'Equipaggiamento
13-21,Guanti della Visione Spettrale,4.000 mo,Guida all'Equipaggiamento
22-33,Guanti Catturafrecce,4.000 mo,Manuale di Gioco
34-43,Guanti dell'Attivatrappole,4.000 mo,Guida all'Equipaggiamento
44-55,Guanti del Colpo Arcano,5.000 mo,Guida all'Equipaggiamento
56-65,Guanti dell'Avvelenatore,5.000 mo,Guida all'Equipaggiamento
66-75,Guanti del Magnetista,6.000 mo,Guida all'Equipaggiamento
76-100,Guanti del Nuotare e Scalare,6.250 mo,Manuale di Gioco
-,Guanti della Marchiatura,7.200 mo,Guida alle Classi
-,Guanti Elfici,7.500 mo,Guida alle Razze
