d%,Oggetto,Prezzo,Fonte
01-08,Stivali della Fuga,8.000 mo,Guida alle Razze
09-14,Stivali delle Radici della Terra,8.000 mo,Guida all'Equipaggiamento
15-21,Stivali dell'Incubo,8.500 mo,Guida all'Equipaggiamento
22-26,Ferri dell'Incubo,9.000 mo,Guida all'Equipaggiamento
27-32,Stivali dei Triboli,10.000 mo,Guida all'Equipaggiamento
33-39,Stivali Tellurici,10.000 mo,Guida all'Equipaggiamento
40-47,Stivali del Mastodonte,10.500 mo,Guida all'Equipaggiamento
48-54,Scarpe del Balzo Fulmineo,10.500 mo,Guida all'Equipaggiamento
55-70,Stivali della VelocitÃ,12.000 mo,Manuale di Gioco
71-77,Stivali Verdeggianti,12.000 mo,Guida all'Equipaggiamento
78-84,Ferri dei Colpi Schiaccianti +2,16.000 mo,Guida alle Razze
85-100,Stivali Alati,16.000 mo,Manuale di Gioco
