d%,Oggetto,Prezzo,Fonte
01-11,Stivali del Gatto,1.000 mo,Guida all'Equipaggiamento
12-22,Stivali Impavidi,1.400 mo,Guida all'Equipaggiamento
23-31,Stivali della Marcia Duratura,1.500 mo,Guida all'Equipaggiamento
32-41,Pantofole del Passo Morbido,2.000 mo,Guida all'Equipaggiamento
-,Stivali del Buon Gusto,2.000 mo,Guida alle Classi
42-50,Stivali del Terreno Amico,2.400 mo,Guida del Giocatore
51-60,Stivali dell'Inverno,2.500 mo,Manuale di Gioco
61-76,Stivali Elfici,2.500 mo,Manuale di Gioco
77-85,Pantofole dell'Acrobata,3.000 mo,Guida all'Equipaggiamento
86-92,Ferri della VelocitÃ,3.000 mo,Manuale di Gioco
93-100,Stivali del Pantano,3.500 mo,Guida all'Equipaggiamento
-,Stivali del Salto,3.500 mo,Guida alle Classi
