d%,Oggetto,Prezzo,Fonte
01-06,Cappa Vistosa,200 mo,Guida del Giocatore
07-10,Mantello delle Sembianze Umane,900 mo,Guida alle Razze
11-30,Mantello della Resistenza +1,1.000 mo,Manuale di Gioco
31-36,Corde Dorso di Mulo,1.000 mo,Guida del Giocatore
37-38,Scialle dell'Energia Vitale,1.000 mo,Guida alle Razze
39-44,Mantello Scudo,1.000 mo,Guida all'Equipaggiamento
45-50,Mantello del Mutamento Rapido,1.500 mo,Guida all'Equipaggiamento
-,Mantello dei Riflessi Rapidi +1/Riflessi +2,1.500 mo,Avventure Mitiche
-,Mantello della Libera VolontÃ +1/VolontÃ +2,1.500 mo,Avventure Mitiche
-,Spallacci della Tempra Incrollabile +1/Tempra +2,1.500 mo,Avventure Mitiche
51-56,Mantello del Vile Acquattarsi,1.800 mo,Guida del Giocatore
57-74,Mantello Elfico,2.500 mo,Manuale di Gioco
75-80,Mantello dell'Apprendista Mago,2.500 mo,Guida all'Equipaggiamento
81-85,Mantello della Sparizione Avvampante,2.600 mo,Guida alle Razze
86-94,Mantello delle Zanne,2.800 mo,Guida alle Razze
95-97,Spallacci del Serpente,3.000 mo,Guida all'Equipaggiamento
98-100,Mantello della Foschia Rocciosa,3.500 mo,Guida alle Razze
