d%,Oggetto,Prezzo,Fonte
01-06,Corona dell'Occhio Felino,18.000 mo,Guida alle Razze
07-12,Fauci del Dragone,18.000 mo,Guida all'Equipaggiamento
13-20,Mitra del Gerofante,18.000 mo,Guida all'Equipaggiamento
-,Corona di Alloro,19.000 mo,Avventure Mitiche
21-29,Cappello del Mago,20.000 mo,Guida all'Equipaggiamento
30-36,Diadema della Vista Mentale,22.000 mo,Guida all'Equipaggiamento
37-45,Maschera del Teschio,22.000 mo,Manuale di Gioco
46-53,Elmo Ululante,22.600 mo,Guida all'Equipaggiamento
54-66,Diadema Incandescente Maggiore,23.760 mo,Manuale di Gioco
67-76,Elmo del Movimento Subacqueo,24.000 mo,Manuale di Gioco
77-83,Corona della Conquista,24.600 mo,Guida alle Razze
-,Maschera del Mesmerista,25.000 mo,Avventure Occulte
84-89,Elmo Batraciano,26.000 mo,Guida all'Equipaggiamento
90-100,Elmo della Telepatia,27.000 mo,Manuale di Gioco
-,Cappuccio di Privazione Sensoriale,27.500 mo,Avventure Occulte
