d%,Oggetto,Prezzo,Fonte
01-10,Fascia del Campione di Guerra,4.000 mo,Guida del Giocatore
11-20,Giacca Centellinante,5.000 mo,Guida all'Equipaggiamento
21-31,Casacca del Lancio Prudente,5.000 mo,Guida all'Equipaggiamento
32-42,Gil̬ della Fuga,5.200 mo,Manuale di Gioco
43-52,Blusa della Megera Ciarliera,6.000 mo,Guida all'Equipaggiamento
53-62,Gil̬ del Colpo Letale,6.000 mo,Guida all'Equipaggiamento
63-70,Pettorale del Profeta,6.000 mo,Guida all'Equipaggiamento
71-79,Casacca della Potenza Letale,6.000 mo,Guida all'Equipaggiamento
80-90,Gil̬ del Battitore Vendicativo,6.000 mo,Guida all'Equipaggiamento
91-100,Cappotto di Ordinanza Risplendente,7.000 mo,Guida all'Equipaggiamento
