d%,Oggetto,Prezzo,Fonte
01-04,Statuina delle Meraviglie  (  Stallone d'Ossidiana  ),28.500 mo,Manuale di Gioco
-,Libro delle Ricette Meravigliose,28.800 mo,Guida alle Razze
05-07,Calderone dei Morti,30.000 mo,Guida del Giocatore
08-11,Tamburi del Panico,30.000 mo,Manuale di Gioco
12-15,Pietra Magica (Prisma Arancione),30.000 mo,Manuale di Gioco
16-19,Pietra Magica (Prisma Verde Chiaro),30.000 mo,Manuale di Gioco
20-23,Lanterna della Rivelazione,30.000 mo,Manuale di Gioco
24-27,Scopa Volante da Corsa,30.000 mo,Manuale di Gioco
-,Borsa delle Nubi d'Ombra,30.240 mo,Guida alle Razze
-,Lanterna delle Ombre Danzanti,30.302 mo,Guida alle Razze
-,Pietra Runica del Potere (4Â°),32.000 mo,Guida alle Classi
28-31,Calderone della Resurrezione,33.000 mo,Guida del Giocatore
-,Specchio Ruba-anima,33.000 mo,Avventure Occulte
32-36,"Tappeto Volante (1,5 m x 3 m)",35.000 mo,Manuale di Gioco
37-38,Manuale del Golem (Ferro),35.000 mo,Manuale di Gioco
-,Campana del Disincanto,35.000 mo,Avventure Mitiche
-,Cornucopia dell'Abbondanza,35.000 mo,Avventure Mitiche
39-40,Biglia di Boro (6Â°),36.000 mo,Guida all'Equipaggiamento
41-44,Pietra Magica (Prisma Viola Vibrante),36.000 mo,Manuale di Gioco
45-48,Globo del Caos Assoluto,36.000 mo,Guida all'Equipaggiamento
49-50,Pagina della Conoscenza Magica (6Â°),36.000 mo,Guida all'Equipaggiamento
51-58,Perla del Potere (6Â°),36.000 mo,Manuale di Gioco
59-60,Ampolla Preservante (6Â°),36.000 mo,Guida all'Equipaggiamento
-,Bambola Ganji Superiore,36.000 mo,Avventure Occulte
-,Reticolo Incantato (6Â°),36.000 mo,Guida alle Classi
61-64,Calderone del Volo,40.000 mo,Guida del Giocatore
65-66,Feticcio dell'OstilitÃ,40.000 mo,Guida all'Equipaggiamento
67-69,Pietra Magica (Ellissoide Lavanda e Verde),40.000 mo,Manuale di Gioco
70-73,Anelli dei Portali,40.000 mo,Manuale di Gioco
74-77,Calderone della Visione,42.000 mo,Guida del Giocatore
78-81,Sfera di Cristallo,42.000 mo,Manuale di Gioco
82-83,Manuale del Golem (Pietra Guardiano),44.000 mo,Manuale di Gioco
84-87,Tamburi della VelocitÃ,45.000 mo,Guida all'Equipaggiamento
-,Stendardo da Battaglia Hobgoblin della Ferrea Risolutezza,45.000 mo,Guida alle Razze
88-91,Collana della Preghiera (Standard),45.800 mo,Manuale di Gioco
92-94,Globo delle Tempeste,48.000 mo,Manuale di Gioco
49-50,Pagina della Conoscenza Magica (7Â°),49.000 mo,Guida all'Equipaggiamento
51-58,Perla del Potere (7Â°),49.000 mo,Manuale di Gioco
-,Reticolo Incantato (7Â°),49.000 mo,Guida alle Classi
