d%,Oggetto,Prezzo,Fonte
01,Calice della Trasudazione del Veleno,8.000 mo,Guida all'Equipaggiamento
02,Aspersorio dell'Esorcista,8.000 mo,Guida all'Equipaggiamento
03,Manuale del Golem (Carne),8.000 mo,Manuale di Gioco
04,Arpa della Frantumazione,8.000 mo,Guida all'Equipaggiamento
05,Mostrina del Valore,8.000 mo,Guida all'Equipaggiamento
06,Pietra Magica (Sfera Rosso Scuro),8.000 mo,Manuale di Gioco
07,Pietra Magica (Sfera Blu Incandescente),8.000 mo,Manuale di Gioco
08,Pietra Magica (Romboide Blu Chiaro),8.000 mo,Manuale di Gioco
09,Pietra Magica (Sfera Rosa e Verde),8.000 mo,Manuale di Gioco
10,Pietra Magica (Romboide Rosa),8.000 mo,Manuale di Gioco
11,Pietra Magica (Sfera Scarlatta e Blu),8.000 mo,Manuale di Gioco
12,Aghi Sottocutanei,8.000 mo,Guida all'Equipaggiamento
13,Grimaldelli Irrequieti,8.000 mo,Guida all'Equipaggiamento
14,Fischietto Mannaro,8.000 mo,Guida all'Equipaggiamento
-,Coppe del Buon Rapporto,8.000 mo,Guida alle Classi
-,Pietra Runica del Potere (2Â°),8.000 mo,Guida alle Classi
-,Simbolo del Comando Sacrilego,8.000 mo,Guida alle Razze
15-16,Mazzo delle Illusioni,8.100 mo,Manuale di Gioco
17,Candela dell'Invocazione,8.400 mo,Manuale di Gioco
18-19,Borsa degli Animali (Ruggine),8.500 mo,Manuale di Gioco
20,Biglia di Boro (3Â°),9.000 mo,Guida all'Equipaggiamento
21,Caraffa dell'Acqua Eterna,9.000 mo,Manuale di Gioco
22,Specchio Disgustoso,9.000 mo,Guida all'Equipaggiamento
23-25,Pagina della Conoscenza Magica (3Â°),9.000 mo,Guida all'Equipaggiamento
26-31,Perla del Potere (3Â°),9.000 mo,Manuale di Gioco
32,Ampolla Preservante (3Â°),9.000 mo,Guida all'Equipaggiamento
-,Pipa dell'Investigatore,9.000 mo,Guida alle Classi
-,Reticolo Incantato (3Â°),9.000 mo,Guida alle Classi
-,Rosa di Mithral,9.000 mo,Avventure Mitiche
33,Statuina delle Meraviglie  (Gufo di Serpentino),9.100 mo,Manuale di Gioco
-,Statuina delle Meraviglie  (Corvo di Giada Nera),9.100 mo,Guida alle Razze
34,Collana della Preghiera (Minore),9.600 mo,Manuale di Gioco
35-38,Borsa Conservante (Tipo IV),10.000 mo,Manuale di Gioco
39,Gesso Confinante,10.000 mo,Guida all'Equipaggiamento
40,Campana del Silenzio Risonante,10.000 mo,Guida all'Equipaggiamento
41,Mattone dell'Incanalare Costrutti,10.000 mo,Guida del Giocatore
42,Arpa del Terrore,10.000 mo,Guida del Giocatore
43,Tamburo dell'Avanzata e della Ritirata,10.000 mo,Guida all'Equipaggiamento
44,Filo dell'Imbalsamazione,10.000 mo,Guida all'Equipaggiamento
45,Occhio del Vuoto,10.000 mo,Guida all'Equipaggiamento
46,Statuina delle Meraviglie  (Grifone di Bronzo),10.000 mo,Manuale di Gioco
47,Statuina delle Meraviglie  (Mosca d'Ebano),10.000 mo,Manuale di Gioco
48,Statuina delle Meraviglie  (Ragno di Ardesia),10.000 mo,Guida al Combattimento
49,Clessidra dell'Ultima PossibilitÃ,10.000 mo,Guida all'Equipaggiamento
50-51,Pietra Magica (Romboide Blu Scuro),10.000 mo,Manuale di Gioco
52,Tappetino Ki,10.000 mo,Guida del Giocatore
53,Stendardo del Signore (RapiditÃ ),10.000 mo,Guida del Giocatore
54,Simbolo Malleabile,10.000 mo,Guida all'Equipaggiamento
55,Stipetto del Migrus,10.000 mo,Guida all'Equipaggiamento
56,Ornamento di Luce Curativa,10.000 mo,Guida all'Equipaggiamento
57,Ruota della Preghiera della Forza Etica,10.000 mo,Guida all'Equipaggiamento
58,Cavallo di Pietra (Corsiero),10.000 mo,Guida all'Equipaggiamento
59,Cristallo Evoca Schiavo,10.000 mo,Guida all'Equipaggiamento
