d%,Oggetto,Prezzo,Fonte
01-03,Pietra Magica (Fuso Iridescente),18.000 mo,Manuale di Gioco
04,Globo dell'Abaddon,18.000 mo,Guida all'Equipaggiamento
-,Reticolo Incantato (5Â°),18.000 mo,Guida alle Classi
-,Specchio degli Spiriti,18.900 mo,Avventure Occulte
-,Perla Purificante,19.000 mo,Guida alle Razze
05-08,"Tappeto Volante (1,5 m x 1,5 m)",20.000 mo,Manuale di Gioco
09,Corno dell'Antagonismo,20.000 mo,Guida del Giocatore
10-13,Corno della Distruzione,20.000 mo,Manuale di Gioco
14-17,Pietra Magica (Ellissoide Lavanda Chiaro),20.000 mo,Manuale di Gioco
18-21,Pietra Magica (Fuso Madreperla),20.000 mo,Manuale di Gioco
22-24,Campana d'Oro Perfetta del Maestro,20.000 mo,Guida all'Equipaggiamento
25-27,Athame del Necromante,20.000 mo,Guida del Giocatore
28-31,Buco Portatile,20.000 mo,Manuale di Gioco
32-35,Pietra della Buona Fortuna,20.000 mo,Manuale di Gioco
-,Finestra Fluttuante,20.000 mo,Guida alle Razze
-,Sacca del Fabbrica Trappole,20.000 mo,Guida alle Razze
-,Tavola Parlante Magica,20.000 mo,Avventure Occulte
36-37,Statuina delle Meraviglie  (  Capra d'Avorio  ),21.000 mo,Manuale di Gioco
38-40,Corda per Intralciare,21.000 mo,Manuale di Gioco
41-42,Manuale del Golem (Pietra),22.000 mo,Manuale di Gioco
43,Globo del Paradiso,22.000 mo,Guida all'Equipaggiamento
44-45,Zappa dei Titani,23.348 mo,Manuale di Gioco
46-48,Corno Potorio del Valore Illimitato,24.000 mo,Guida all'Equipaggiamento
-,Vaso Canopo,24.000 mo,Avventure Mitiche
49-51,Biglia di Boro (5Â°),25.000 mo,Guida all'Equipaggiamento
52-53,Smeraldo del Caos,25.000 mo,Guida all'Equipaggiamento
54-57,Pagina della Conoscenza Magica (5Â°),25.000 mo,Guida all'Equipaggiamento
58-64,Perla del Potere (5Â°),25.000 mo,Manuale di Gioco
65-67,Ampolla Preservante (5Â°),25.000 mo,Guida all'Equipaggiamento
-,Pietra Runica del Potere (3Â°),25.000 mo,Guida alle Classi
68-69,Maglio dei Titani,25.305 mo,Manuale di Gioco
70-73,Fasce Metalliche Leganti,26.000 mo,Manuale di Gioco
74-76,Cubo della Resistenza al Gelo,27.000 mo,Manuale di Gioco
-,Libro degli Scherzi Perfetti,27.000 mo,Avventure Mitiche
77-80,Manuale della Salute +1,27.500 mo,Manuale di Gioco
81-84,Manuale dell'Esercizio Fisico +1,27.500 mo,Manuale di Gioco
85-88,Manuale della VelocitÃ di Azione +1,27.500 mo,Manuale di Gioco
89-92,Tomo del Chiaro Pensiero +1,27.500 mo,Manuale di Gioco
93-96,Tomo del Comando e dell'Influenza +1,27.500 mo,Manuale di Gioco
97-100,Tomo della Comprensione +1,27.500 mo,Manuale di Gioco
