d%,Oggetto,Prezzo,Fonte
01-03,Tirare sulla sezione Oggetto Infimo Senza Slot,-,-
04,Bambola Anatomica,1.000 mo,Guida all'Equipaggiamento
05,Biglia della Prevenzione del Tritone,1.000 mo,Guida all'Equipaggiamento
06,Marchio Lega-bestia,1.000 mo,Guida all'Equipaggiamento
07,Ex Libris del Richiamo,1.000 mo,Guida all'Equipaggiamento
08-09,Biglia di Boro (1Â°),1.000 mo,Guida all'Equipaggiamento
10,Tasca Occultante,1.000 mo,Guida all'Equipaggiamento
11,Sciroppo Rabdomante,1.000 mo,Guida all'Equipaggiamento
12,Incenso della Trascendenza,1.000 mo,Guida all'Equipaggiamento
13-14,Pagina della Conoscenza Magica (1Â°),1.000 mo,Guida all'Equipaggiamento
15-17,Perla del Potere (1Â°),1.000 mo,Manuale di Gioco
18,Ampolla Preservante (1Â°),1.000 mo,Guida all'Equipaggiamento
19-20,Pisside del Focus Ridiretto,1.000 mo,Guida all'Equipaggiamento
21-22,Balsamo della ScivolositÃ,1.000 mo,Manuale di Gioco
23,Nido di Vespe dello Sciamare,1.000 mo,Guida all'Equipaggiamento
-,Brocca per Bevande Tengu,1.000 mo,Guida alle Razze
-,Erbapipa del Fumo Solido,1.000 mo,Guida alle Razze
-,Reticolo Incantato (1Â°),1.000 mo,Guida alle Classi
-,Radice dell'Albero del Mondo Normale,1.000 mo,Avventure Mitiche
24-26,Elisir del Soffio di Fuoco,1.100 mo,Manuale di Gioco
27,Sale del Tumulo,1.100 mo,Guida all'Equipaggiamento
28-29,Flauto dei Topi,1.150 mo,Manuale di Gioco
30-31,Polvere dell'Illusione,1.200 mo,Manuale di Gioco
32-33,Bomba Teschio Goblin,1.200 mo,Guida all'Equipaggiamento
-,Elisir della Visione Oscura,1.200 mo,Guida alle Razze
34-35,Elisir del Soffio di Drago,1.400 mo,Guida all'Equipaggiamento
-,Erbe della Bestia Primordiale,1.400 mo,Avventure Mitiche
-,Incenso della CorporeitÃ,1.400 mo,Avventure Occulte
-,Lucido per Scaglie Nagaji,1.400 mo,Guida alle Razze
-,Polvere Anti-Fantasma,1.400 mo,Avventure Occulte
-,Vaso dell'Animale Profetico,1.400 mo,Avventure Occulte
36,Segnalibro dell'Inganno,1.500 mo,Guida all'Equipaggiamento
37,Parola in Bottiglia,1.500 mo,Guida all'Equipaggiamento
-,Bolla Portagioie,1.500 mo,Guida alle Razze
-,Candela di Protezione contro gli Spiriti,1.500 mo,Avventure Occulte
38,Polvere Deacidificante,1.600 mo,Guida all'Equipaggiamento
39-40,Polvere dell'Apparizione,1.800 mo,Manuale di Gioco
41-42,Faretra Efficiente,1.800 mo,Manuale di Gioco
43,Flauto dei Suoni,1.800 mo,Manuale di Gioco
44,Fodero del Vigore,1.800 mo,Guida del Giocatore
45,Bastone da Montagna Agile,2.000 mo,Guida all'Equipaggiamento
46,Riserva di Sangue della Prodezza Fisica,2.000 mo,Guida all'Equipaggiamento
47,Carillon del Clamore,2.000 mo,Guida del Giocatore
48,Corno per Polvere a Carica Asciutta,2.000 mo,Guida al Combattimento
49,Tamburo del Fuoco Goblin (Normale),2.000 mo,Guida all'Equipaggiamento
50-51,Zainetto Pratico,2.000 mo,Manuale di Gioco
52-53,Corno della Nebbia,2.000 mo,Manuale di Gioco
54,Punta di Metallo del Passaggio Sicuro,2.000 mo,Guida all'Equipaggiamento
-,Incenso dell'Eidos,2.000 mo,Guida alle Classi
-,Lanterna delle Aure,2.000 mo,Guida alle Classi
-,Liuto da Battaglia,2.000 mo,Guida alle Classi
-,Pietra Runica del Potere (1Â°),2.000 mo,Guida alle Classi
-,Polvere Ristorante,2.000 mo,Guida alle Classi
55,Vessillo del Cavaliere (Onore),2.200 mo,Guida del Giocatore
56-59,Vaporizzatore Volatile (1Â°),2.200 mo,Guida all'Equipaggiamento
60-62,Gemma Elementale,2.250 mo,Manuale di Gioco
