d%,Oggetto,Prezzo,Fonte
01,Biglia di Boro (2Â°),4.000 mo,Guida all'Equipaggiamento
02,Laccio di Sicurezza,4.000 mo,Guida all'Equipaggiamento
03,Scala di Evacuazione,4.000 mo,Guida all'Equipaggiamento
04,Mirino a Lungo Raggio,4.000 mo,Guida al Combattimento
05-06,Pietra Magica (Fuso Trasparente),4.000 mo,Manuale di Gioco
07,Pigmenti Meravigliosi,4.000 mo,Manuale di Gioco
08-15,Pagina della Conoscenza Magica (2Â°),4.000 mo,Guida all'Equipaggiamento
16-25,Perla del Potere (2Â°),4.000 mo,Manuale di Gioco
26,Ampolla Preservante (2Â°),4.000 mo,Guida all'Equipaggiamento
27,Unguento Ristorativo,4.000 mo,Manuale di Gioco
28-30,Balsamo della Pietra,4.000 mo,Manuale di Gioco
-,Bottiglia dell'Abbondanza,4.000 mo,Avventure Mitiche
-,Gemma Fantasma,4.000 mo,Guida alle Razze
-,Polvere Taumaturgica,4.000 mo,Avventure Occulte
-,Reticolo Incantato (2Â°),4.000 mo,Guida alle Classi
-,Zucca Luminescente,4.250 mo,Guida alle Classi
31,Bussola Chiamavento,4.400 mo,Guida all'Equipaggiamento
32,Tamburo del Fuoco Goblin (Superiore),4.500 mo,Guida all'Equipaggiamento
33,Vessillo del Cavaliere (Battaglia),4.500 mo,Guida del Giocatore
34,Vessillo del Cavaliere (Trattativa),4.500 mo,Guida del Giocatore
35,Polvere di Vuoto,4.500 mo,Guida all'Equipaggiamento
36,Incenso della Meditazione,4.900 mo,Manuale di Gioco
37,Fiala di Miscelazione,5.000 mo,Guida all'Equipaggiamento
38-51,Borsa Conservante (Tipo II),5.000 mo,Manuale di Gioco
52,Rasoio d'Osso,5.000 mo,Guida all'Equipaggiamento
53,Corno del Signore della Caccia,5.000 mo,Guida del Giocatore
54,Batacchio Ostinato,5.000 mo,Guida all'Equipaggiamento
55-56,Pietra Magica (Prisma Rosa Pallio),5.000 mo,Manuale di Gioco
57,Mazzuola della Costruzione,5.000 mo,Guida all'Equipaggiamento
58,Borsa Metamorfica,5.000 mo,Guida all'Equipaggiamento
59,Fodero del Tamponamento,5.000 mo,Guida del Giocatore
60,Banco di Occhi,5.000 mo,Guida all'Equipaggiamento
61,Fodero della Lama Furtiva,5.000 mo,Guida del Giocatore
62,Pietra dell'Alleanza,5.000 mo,Guida all'Equipaggiamento
63,Ceppi dell'Evocazione,5.000 mo,Guida all'Equipaggiamento
-,Fodero delle Molte Lame,5.000 mo,Guida alle Classi
-,Nettare degli DÃ¨i,5.000 mo,Avventure Mitiche
-,Ventaglio dalle Piume Rosse,5.000 mo,Guida alle Razze
-,Stendardo del Riposo Tranquillo,5.040 mo,Guida alle Classi
64,Ampolla del Fumo Perenne,5.400 mo,Manuale di Gioco
65,Cucchiaio del Sostentamento,5.400 mo,Manuale di Gioco
66,Ventaglio dei Venti,5.500 mo,Manuale di Gioco
67,Lanterna Macabra,5.800 mo,Guida all'Equipaggiamento
68,Moneta della Via Inesplorata,6.000 mo,Guida all'Equipaggiamento
69,Corno della Chiarezza in Battaglia,6.000 mo,Guida all'Equipaggiamento
70,Emblema del Legame Vitale,6.000 mo,Guida all'Equipaggiamento
71,Lacrima del Martire,6.000 mo,Guida all'Equipaggiamento
72,Flauto Incantatore,6.000 mo,Manuale di Gioco
73,Corda dei Nodi,6.000 mo,Guida all'Equipaggiamento
74,Campana del Colpo Ki,6.000 mo,Guida all'Equipaggiamento
75,Famiglio di Pietra,6.000 mo,Guida all'Equipaggiamento
-,Flauto del Guardiano dei Cunicoli,6.000 mo,Guida alle Razze
-,Simbolo di Fortuna,6.000 mo,Guida alle Razze
76,Libro dell'Evocazione Estesa (Superiore),6.126 mo,Guida all'Equipaggiamento
-,Fischietto del Richiamo,6.300 mo,Guida alle Classi
77,Ossa di Drago Divinatorie,6.400 mo,Guida all'Equipaggiamento
78,Corno del Bene/del Male,6.500 mo,Manuale di Gioco
79,Bindi Scaglia di Naga,6.600 mo,Guida all'Equipaggiamento
-,Gemma Stella Kitsune (3Â°),6.750 mo,Guida alle Razze
-,Ferro di Cavallo Fortunato,6.800 mo,Avventure Occulte
80,Bottiglia delle Ombre,7.000 mo,Guida all'Equipaggiamento
81,Cappa della Bravata,7.000 mo,Guida all'Equipaggiamento
82-83,Ponte Istantaneo,7.000 mo,Guida all'Equipaggiamento
84,Specchio dei Riflessi Protettivi,7.000 mo,Guida all'Equipaggiamento
85,Barca Pieghevole,7.200 mo,Manuale di Gioco
86-87,Bottiglia d'Aria,7.250 mo,Manuale di Gioco
88-94,Borsa Conservante (Tipo III),7.400 mo,Manuale di Gioco
95,Balsamo della Grazia Maliziosa,7.500 mo,Guida all'Equipaggiamento
96,Candela dell'Aria Pulita,7.500 mo,Guida all'Equipaggiamento
97,Arpa dello Charme,7.500 mo,Manuale di Gioco
98-100,Manuale della Guerra,7.500 mo,Guida all'Equipaggiamento
-,Finestra Unidirezionale,7.500 mo,Guida alle Classi
