d%,Oggetto,Prezzo,Fonte
01-15,Simbolo della Protezione Sanguigna,17.500 mo,Guida all'Equipaggiamento
16-24,Amuleto dell'Armatura Naturale +3,18.000 mo,Manuale di Gioco
-,Cappio dell'Impiccato,18.000 mo,Avventure Mitiche
-,Incensiere del Santuario,18.000 mo,Avventure Mitiche
25-35,Ampolla del Sangue Ingannevole,20.000 mo,Guida all'Equipaggiamento
36-50,Amuleto delle Arti Magiche,20.000 mo,Guida del Giocatore
51-62,Amuleto del Nemico dei Draghi,20.000 mo,Guida all'Equipaggiamento
63-67,Amuleto della Maestria Magica,22.000 mo,Guida all'Equipaggiamento
68-72,Amuleto di Protezione dai Proiettili +4,24.000 mo,Guida al Combattimento
-,Talismano Superiore del Potere di Guarigione,24.000 mo,Avventure Occulte
72-85,Mano della Pietra,27.000 mo,Guida all'Equipaggiamento
86-100,Talismano Anti-veleno,27.000 mo,Manuale di Gioco
