d%,Oggetto,Prezzo,Fonte
-,Talismano Minore dei Venti Benefici,50 mo,Avventure Occulte
-,Talismano Minore del Coraggio del Combattente,450 mo,Avventure Occulte
-,Talismano Minore delle Evocazioni Sigillate,450 mo,Avventure Occulte
-,Talismano Superiore dei Venti Benefici,500 mo,Avventure Occulte
-,Talismano Minore della Percezione del Pericolo,750 mo,Avventure Occulte
01-10,Mano del Mago,900 mo,Manuale di Gioco
11-18,Emblema del Recupero,900 mo,Guida all'Equipaggiamento
-,Talismano Minore della LibertÃ,900 mo,Avventure Occulte
-,Collare Crudele,1.000 mo,Guida alle Classi
-,Talismano Minore della Protezione dalle Fiamme,1.250 mo,Avventure Occulte
19-25,Amuleto di Protezione dai Proiettili +1,1.500 mo,Guida al Combattimento
26-37,Fermaglio dello Scudo,1.500 mo,Manuale di Gioco
38-49,Collana delle Palle di Fuoco (Tipo I),1.650 mo,Manuale di Gioco
-,Talismano Minore della Buona Fortuna,1.680 mo,Avventure Occulte
50-63,Amuleto dell'Armatura Naturale +1,2.000 mo,Manuale di Gioco
-,Fermaglio del Mimetismo,2.000 mo,Guida alle Razze
-,Talismano Minore del Potere di Guarigione,2.400 mo,Avventure Occulte
64-72,Scarabeo dell'Anatema dei Golem,2.500 mo,Manuale di Gioco
73-82,Collana delle Palle di Fuoco (Tipo II),2.700 mo,Manuale di Gioco
83-89,Fermaglio dell'Anatema degli Sciami,3.000 mo,Guida all'Equipaggiamento
90-95,Medaglione Sentinella Mentale,3.500 mo,Guida all'Equipaggiamento
96-100,Gorgiera del Guitto,3.500 mo,Guida all'Equipaggiamento
-,Talismano Minore del Soffio di Vita,3.500 mo,Avventure Occulte
