d%,Oggetto,Prezzo,Fonte
01-06,Fascia della Furia,8.000 mo,Guida all'Equipaggiamento
07-12,Fascia del Serpente,9.000 mo,Guida all'Equipaggiamento
13-20,Fascia della Prodezza Mentale +2,10.000 mo,Manuale di Gioco
21-26,Fascia del Cacciatore,11.000 mo,Guida all'Equipaggiamento
27-34,Filatterio dell'Energia Negativa,11.000 mo,Manuale di Gioco
35-42,Filatterio dell'Energia Positiva,11.000 mo,Manuale di Gioco
43-48,Occhio Velato,12.000 mo,Guida all'Equipaggiamento
49-54,Fascia del Combattente Determinato,14.000 mo,Guida all'Equipaggiamento
55-60,Fascia del Ninjitsu,15.000 mo,Guida all'Equipaggiamento
61-68,Fascia della Seduzione +4,16.000 mo,Manuale di Gioco
69-76,Fascia dell'Ispirazione +4,16.000 mo,Manuale di Gioco
77-85,Fascia della SuperioritÃ Mentale +2,16.000 mo,Manuale di Gioco
86-93,Fascia della Sapienza +4,16.000 mo,Manuale di Gioco
94-100,Fascia del Cambiaforma +4,17.500 mo,Guida all'Equipaggiamento
