d%,Oggetto,Prezzo,Fonte
01-02,Guanti Deliquescenti,8.000 mo,Guida all'Equipaggiamento
03-05,Guanti Fissa Forma,8.000 mo,Guida all'Equipaggiamento
06-08,Guanto del Cobra di Ferro,8.000 mo,Guida all'Equipaggiamento
09-16,Guanto del Falconiere d'Ombra,8.000 mo,Guida all'Equipaggiamento
17-20,Guanti del Colpo Incantato,8.000 mo,Guida all'Equipaggiamento
-,Guanti dei Detriti,8.000 mo,Guida alle Razze
-,Guanti Insanguinati,8.000 mo,Guida alle Classi
21-28,Guanti Anatema dei Glifi,9.000 mo,Guida all'Equipaggiamento
-,Guanti Catturaincantesimi,9.000 mo,Avventure Mitiche
-,Guanti Inesorabili,9.000 mo,Avventure Mitiche
29-40,Guanto della Conservazione,10.000 mo,Manuale di Gioco
41-46,Guanti del Modellamento,10.000 mo,Guida all'Equipaggiamento
47-54,Guanti Elastici,10.000 mo,Guida all'Equipaggiamento
-,Guanti del Pugno di Pietra,10.000 mo,Avventure Mitiche
55-76,Guanto Corrosivo,11.500 mo,Manuale di Gioco
77-100,Guanti del Duello,15.000 mo,Guida del Giocatore
-,Guanti Spaccacrani,15.302 mo,Guida alle Classi
