d%,Oggetto,Prezzo,Fonte
01-13,Guanti Assistenti,180 mo,Guida del Giocatore
14-22,Artigli dell'Orso Polare,1.300 mo,Guida all'Equipaggiamento
23-34,Guanti della Perlustrazione,2.000 mo,Guida all'Equipaggiamento
35-46,Guanto Luminoso,2.000 mo,Guida del Giocatore
47-58,Guanti dell'Imbroglio dell'Apprendista,2.200 mo,Guida all'Equipaggiamento
59-70,Guanti dello Sfidante,2.200 mo,Guida all'Equipaggiamento
71-80,Guanti del Furto,2.500 mo,Guida all'Equipaggiamento
81-90,Guanti del Guaritore,2.500 mo,Guida all'Equipaggiamento
-,Guanti delle Dita Leste,2.500 mo,Guida alle Razze
91-100,Guanti da Lavoro dell'Ingegnere,3.000 mo,Guida all'Equipaggiamento
