d%,Oggetto,Prezzo,Fonte
01-07,Stivali dello Scassinatore Minori,4.000 mo,Guida all'Equipaggiamento
08-13,Ferri dei Colpi Schiaccianti +1,4.000 mo,Guida alle Razze
14-19,Sandali della Reazione Rapida,4.000 mo,Guida all'Equipaggiamento
20-26,Pantofole della Camminata sulle Nubi,4.400 mo,Guida all'Equipaggiamento
27-40,Pantofole del Ragno,4.800 mo,Manuale di Gioco
41-46,Sandali del Passo Leggero,5.000 mo,Guida all'Equipaggiamento
47-60,Stivali Molleggiati,5.500 mo,Manuale di Gioco
61-68,Ferri dello Zefiro,6.000 mo,Manuale di Gioco
69-75,Scarpe Infestate,6.480 mo,Guida all'Equipaggiamento
76-82,Stivali dell'Escursione,7.200 mo,Guida all'Equipaggiamento
83-100,Stivali della Levitazione,7.500 mo,Manuale di Gioco
-,Stivali della Furia Rapida,7.500 mo,Guida alle Classi
