d%,Oggetto,Prezzo,Fonte
01-04,Braccialetto dei Ciondoli,8.000 mo,Guida all'Equipaggiamento
05-08,Vambraci del Duellante,8.000 mo,Guida all'Equipaggiamento
09-13,Vambraci Pietosi,8.000 mo,Guida all'Equipaggiamento
14-18,Vambraci dello Stratega,8.000 mo,Guida all'Equipaggiamento
19-43,Bracciali dell'Armatura +3,9.000 mo,Manuale di Gioco
44-53,Anatema del Seduttore,9.900 mo,Guida all'Equipaggiamento
-,Bracciali della Potenza,10.000 mo,Avventure Mitiche
54-58,Bracciali del Cavaliere Vendicativo,11.500 mo,Guida all'Equipaggiamento
59-63,Bracciali del Maestro Arciere,13.900 mo,Guida all'Equipaggiamento
64-73,Vambraci del Genio (Efreeti),14.400 mo,Guida all'Equipaggiamento
74-78,Braccialetto della Trattativa,14.500 mo,Guida all'Equipaggiamento
79-82,Braccialetto dell'Indulgenza,15.000 mo,Guida del Giocatore
83-86,Bracciali del Cavaliere Misericordioso,15.600 mo,Guida all'Equipaggiamento
87-90,Braccialetto delle Seconde PossibilitÃ,15.750 mo,Guida all'Equipaggiamento
91-99,Bracciali dell'Armatura +4,16.000 mo,Manuale di Gioco
-,Bracciale d'Argento della Punizione,16.000 mo,Guida del Giocatore
100,Manette della Vile Prigionia,16.200 mo,Guida alle Razze
