d%,Oggetto,Prezzo,Fonte
01-27,Bracciali dell'Armatura +2,4.000 mo,Manuale di Gioco
28,Bracciali della Mira del Falco,4.000 mo,Guida all'Equipaggiamento
29-38,Vambraci Baluardo dell'Inquisitore,4.000 mo,Guida all'Equipaggiamento
39-65,Bracciali dell'Arciere Inferiori,5.000 mo,Manuale di Gioco
66-68,Bracciali della Protezione dagli Incantesimi,5.000 mo,Guida all'Equipaggiamento
-,Guaina della Sparizione,5.000 mo,Guida alle Classi
69-71,Bracciali Spezzaossa,6.000 mo,Guida all'Equipaggiamento
72-81,Vambraci della Difesa,6.000 mo,Guida all'Equipaggiamento
82-98,Viticcio Verdeggiante,6.000 mo,Guida all'Equipaggiamento
-,Bracciali Ululanti,7.000 mo,Guida alle Classi
99,Bracciali Lunghebraccia,7.200 mo,Guida all'Equipaggiamento
100,Bracciali dell'Artista Disinvolto,7.900 mo,Guida all'Equipaggiamento
