d%,Oggetto,Prezzo,Fonte
01-20,Mantello della Resistenza +3,9.000 mo,Manuale di Gioco
-,Cappa delle Gesta Audaci,9.000 mo,Guida alle Classi
-,Mantello del Poeta,9.750 mo,Guida alle Classi
21-22,Mantello del Viandante Crepuscolare,10.000 mo,Guida all'Equipaggiamento
21-22,Mantello del Bozzolo,10.000 mo,Guida all'Equipaggiamento
26-27,Spallacci del Toro,10.000 mo,Guida all'Equipaggiamento
28-32,Mantello di Pietra Minore,10.000 mo,Guida all'Equipaggiamento
33-40,Cappa del Saltimbanco,10.800 mo,Manuale di Gioco
41-45,Spallacci del Leone Guardingo,10.800 mo,Guida all'Equipaggiamento
46-52,Mantello del Leone,12.000 mo,Guida all'Equipaggiamento
-,Mantello della Caccia,12.000 mo,Avventure Mitiche
53-54,Mantello delle Spore,13.400 mo,Guida all'Equipaggiamento
-,Mantello dei Riflessi Rapidi +3/Riflessi +4,13.500 mo,Avventure Mitiche
-,Mantello della Libera VolontÃ +3/VolontÃ +4,13.500 mo,Avventure Mitiche
-,Spallacci della Tempra Incrollabile +3/Tempra +4,13.500 mo,Avventure Mitiche
55-59,Cappa della Fuga Splendente,14.000 mo,Guida all'Equipaggiamento
60-69,Mantello dell'Aracnide,14.000 mo,Manuale di Gioco
70-72,Poncho del Pistolero,14.000 mo,Guida all'Equipaggiamento
73-74,Mantello Tentacolare,14.000 mo,Guida all'Equipaggiamento
-,Cappa del Fintare,14.000 mo,Guida alle Classi
75-76,Spallacci delle Punte Demoniache,14.350 mo,Guida all'Equipaggiamento
77-78,Mantello della ComoditÃ,15.600 mo,Guida all'Equipaggiamento
79-88,Mantello della Resistenza +4,16.000 mo,Manuale di Gioco
89-91,Scialle della Vegliarda,16.000 mo,Guida all'Equipaggiamento
92-100,Mantello del Prestigiatore,17.200 mo,Guida all'Equipaggiamento
