d%,Oggetto,Prezzo,Fonte
01-12,Stola della Giustizia,18.000 mo,Guida all'Equipaggiamento
13-24,Cappa della Medusa,19.200 mo,Guida all'Equipaggiamento
25-32,Mantello del Diplomatico,20.000 mo,Guida alle Razze
33-44,Mantello Tagliente,20.000 mo,Guida all'Equipaggiamento
45-56,Mantello di Pietra Maggiore,20.000 mo,Guida all'Equipaggiamento
57-68,Mantello della Distorsione Minore,24.000 mo,Manuale di Gioco
-,Mantello dei Riflessi Rapidi +4/Riflessi +5,24.000 mo,Avventure Mitiche
-,Mantello della Libera VolontÃ +4/VolontÃ +5,24.000 mo,Avventure Mitiche
-,Spallacci della Tempra Incrollabile +4/Tempra +5,24.000 mo,Avventure Mitiche
69-88,Mantello della Resistenza +5,25.000 mo,Manuale di Gioco
89-100,Mantello del Pipistrello,26.000 mo,Manuale di Gioco
