d%,Oggetto,Prezzo,Fonte
01-26,Mantello della Resistenza +2,4.000 mo,Manuale di Gioco
27-38,Mantello del Ratto Sfuggente,6.000 mo,Guida alle Razze
39,Scialle della Spuma di Mare,6.000 mo,Guida alle Razze
40-52,Mantello della Forma Arborea,6.000 mo,Guida all'Equipaggiamento
-,Mantello dei Riflessi Rapidi +2/Riflessi +3,6.000 mo,Avventure Mitiche
-,Mantello della Libera VolontÃ +2/VolontÃ +3,6.000 mo,Avventure Mitiche
-,Spallacci della Tempra Incrollabile +2/Tempra +3,6.000 mo,Avventure Mitiche
-,Mantello del Furfante Furtivo,6.400 mo,Guida alle Classi
53-74,Cappa dell'Aquila,7.000 mo,Guida all'Equipaggiamento
75-94,Mantello della Manta,7.200 mo,Manuale di Gioco
95-100,Mantello del Cacciatore,7.500 mo,Guida all'Equipaggiamento
