d%,Oggetto,Prezzo,Fonte
01-12,Diadema della Persuasione,4.500 mo,Manuale di Gioco
13-21,Maschera del Lottatore,5.000 mo,Guida del Giocatore
22-31,Elmo dall'Aspetto Terrificante,5.000 mo,Guida del Giocatore
32-40,Jingasa del Soldato Fortunato,5.000 mo,Guida all'Equipaggiamento
41-54,Elmo della Conoscenza,5.200 mo,Manuale di Gioco
55-66,Corona delle Spade,6.000 mo,Guida alle Razze
67-84,Diadema Incandescente Minore,6.480 mo,Manuale di Gioco
-,Maschera dell'Aspetto,6.500 mo,Guida alle Classi
85-95,Maschera del Krenshar,7.200 mo,Guida all'Equipaggiamento
96-100,Maschera della Pestilenza,7.500 mo,Guida all'Equipaggiamento
