d%,Oggetto,Prezzo,Fonte
01-03,Forma Ferina II,700 mo,Manuale di Gioco
04-05,Scagliare Maledizione,700 mo,Manuale di Gioco
06-09,Tentacoli Neri,700 mo,Manuale di Gioco
10-14,Charme sui Mostri,700 mo,Manuale di Gioco
15-18,Confusione,700 mo,Manuale di Gioco
19-21,Disperazione Opprimente,700 mo,Manuale di Gioco
22-26,Porta Dimensionale,700 mo,Manuale di Gioco
27-29,Ancora Dimensionale,700 mo,Manuale di Gioco
30-32,Corpo Elementale I,700 mo,Manuale di Gioco
33-36,Debilitazione,700 mo,Manuale di Gioco
37-38,Ingrandire Persone di Massa,700 mo,Manuale di Gioco
39-43,Paura,700 mo,Manuale di Gioco
44-47,Scudo di Fuoco,700 mo,Manuale di Gioco
48-50,Globo di InvulnerabilitÃ Inferiore,700 mo,Manuale di Gioco
51-54,Tempesta di Ghiaccio,700 mo,Manuale di Gioco
55-59,InvisibilitÃ Superiore,700 mo,Manuale di Gioco
60-64,Allucinazione Mortale,700 mo,Manuale di Gioco
65-67,Sfera Elastica,700 mo,Manuale di Gioco
68-71,Scrutare,700 mo,Manuale di Gioco
72-74,Ombra di una Evocazione,700 mo,Manuale di Gioco
75-76,Grido,700 mo,Manuale di Gioco
77-78,Nebbia Solida,700 mo,Manuale di Gioco
79-80,Scolpire Pietra,700 mo,Manuale di Gioco
81-83,Evoca Mostri IV,700 mo,Manuale di Gioco
84-88,Muro di Fuoco,700 mo,Manuale di Gioco
89-92,Muro di Ghiaccio,700 mo,Manuale di Gioco
93-97,Pelle di Pietra,950 mo,Manuale di Gioco
98-100,Animare Morti,1.050 mo,Manuale di Gioco
