d%,Oggetto,Prezzo,Fonte
01-03,Animare Morti Inferiore,375 mo,Guida alla Magia
04-06,Sfera Acquea,375 mo,Guida del Giocatore
07-08,Vista Arcana,375 mo,Manuale di Gioco
09-12,Arma Magica Superiore,375 mo,Manuale di Gioco
13-15,Chiaroudienza/Chiaroveggenza,375 mo,Manuale di Gioco
16-17,Manto dei Venti,375 mo,Guida del Giocatore
18-20,Luce Diurna,375 mo,Manuale di Gioco
21-24,Sonno Profondo,375 mo,Manuale di Gioco
25-27,Cacofonia Diversiva,375 mo,Guida alla Magia
28-30,Riserva Draconica,375 mo,Guida del Giocatore
31-35,Aura Elementale,375 mo,Guida del Giocatore
36-38,Rune Esplosive,375 mo,Manuale di Gioco
39-43,Pugno di Forza,375 mo,Guida alla Magia
44-45,Riposo Inviolato,375 mo,Manuale di Gioco
46-47,Fermare Non Morti,375 mo,Manuale di Gioco
48-49,Ruba Guarigione,375 mo,Guida al Combattimento
50-51,Torrente Idraulico,375 mo,Guida del Giocatore
62-65,Fisico Mostruoso I,375 mo,Guida alla Magia
66-68,Ira,375 mo,Manuale di Gioco
69-70,Raggio di Esaurimento,375 mo,Manuale di Gioco
71-73,Pelle Resinosa,375 mo,Guida al Combattimento
74-75,Resistere all'Energia Collettivo,375 mo,Guida al Combattimento
76-78,Pagina Segreta,375 mo,Manuale di Gioco
79-80,Restringere Oggetto,375 mo,Manuale di Gioco
81-83,Tempesta di Nevischio,375 mo,Manuale di Gioco
84-86,Fossa con Spuntoni,375 mo,Guida del Giocatore
87-90,Anatomia Non Morta I,375 mo,Guida alla Magia
91-92,Arma Versatile,375 mo,Guida del Giocatore
93-95,Muro di Vento,375 mo,Manuale di Gioco
96,Scritto Illusorio,425 mo,Manuale di Gioco
97-99,Anti-individuazione,425 mo,Manuale di Gioco
100,Sigillo del Serpente,875 mo,Manuale di Gioco
