d%,Oggetto,Prezzo,Fonte
01-04,Aiuto,300 mo,Manuale di Gioco
05-07,Allineare Arma,300 mo,Manuale di Gioco
08-11,Pelle Coriacea,300 mo,Manuale di Gioco
12-16,Resistenza dell'Orso,300 mo,Manuale di Gioco
17-20,Sfocatura,300 mo,Manuale di Gioco
21-25,Forza del Toro,300 mo,Manuale di Gioco
26-30,Grazia del Gatto,300 mo,Manuale di Gioco
31-37,Cura Ferite Moderate,300 mo,Manuale di Gioco
38-41,Scurovisione,300 mo,Manuale di Gioco
42-44,Ritarda Veleno,300 mo,Manuale di Gioco
45-49,Splendore dell'Aquila,300 mo,Manuale di Gioco
50-54,Astuzia della Volpe,300 mo,Manuale di Gioco
55-61,InvisibilitÃ,300 mo,Manuale di Gioco
62-66,Levitazione,300 mo,Manuale di Gioco
67-71,Saggezza del Gufo,300 mo,Manuale di Gioco
72-73,Protezione dalle Frecce,300 mo,Manuale di Gioco
74-76,Rimuovi Paralisi,300 mo,Manuale di Gioco
77-80,"Resistere all'Energia, Acido",300 mo,Manuale di Gioco
81-84,"Resistere all'Energia, Freddo",300 mo,Manuale di Gioco
85-88,"Resistere all'Energia, ElettricitÃ",300 mo,Manuale di Gioco
89-92,"Resistere all'Energia, Fuoco",300 mo,Manuale di Gioco
93-94,"Resistere all'Energia, Sonoro",300 mo,Manuale di Gioco
95-98,Movimenti del Ragno,300 mo,Manuale di Gioco
99-100,Allineamento Imperscrutabile,300 mo,Manuale di Gioco
