d%,Oggetto,Prezzo,Fonte
01-06,Barriera Ablativa,300 mo,Guida al Combattimento
07-14,Percezioni Acute,300 mo,Guida alla Magia
15-19,Serratura Arcana,300 mo,Manuale di Gioco
20-24,Antiproiettile,300 mo,Guida al Combattimento
25-30,Presa Sicura,300 mo,Guida al Combattimento
31-35,Fiamma Perenne,300 mo,Manuale di Gioco
36-40,Resistenza alla Corruzione,300 mo,Guida del Giocatore
41-48,Camuffare Altri,300 mo,Guida alla Magia
49-56,Riposo Inviolato,300 mo,Manuale di Gioco
57-61,Rendere Integro,300 mo,Manuale di Gioco
62-67,Occulta Oggetto,300 mo,Manuale di Gioco
68-72,Ridurre Animali,300 mo,Manuale di Gioco
73-76,Trucco della Corda,300 mo,Manuale di Gioco
77-82,Risucchio,300 mo,Guida del Giocatore
83-90,Status,300 mo,Manuale di Gioco
91-95,Deformare Legno,300 mo,Manuale di Gioco
96-100,Scolpire Legno,300 mo,Manuale di Gioco
