d%,Oggetto,Prezzo,Fonte
01-08,Verga dell'Assorbimento,50.000 mo,Manuale di Gioco
09-11,Verga Mazzafrusto,50.000 mo,Manuale di Gioco
12-26,Metamagica (liv. incantesimo +3) Normale,54.000 mo,-
-,Verga delle Fatture Potenti,54.000 mo,Guida alle Classi
27-28,Verga della SovranitÃ,60.000 mo,Manuale di Gioco
29-30,Verga della Sicurezza,61.000 mo,Manuale di Gioco
31-32,Verga delle Ombre,64.305 mo,Guida alle Razze
33-34,Verga della Padronanza Mentale,67.000 mo,Guida all'Equipaggiamento
35-37,Verga della Potenza,70.000 mo,Manuale di Gioco
38-57,Metamagica (liv. incantesimo +2) Superiore,73.000 mo,-
58,Scettro del Paradiso,74.000 mo,Guida all'Equipaggiamento
59-68,Metamagica di RapiditÃ Normale,75.500 mo,Manuale di Gioco
-,Verga delle Fatture Improvvise,75.500 mo,Guida alle Classi
69-70,Verga della Potenza Nanica,80.000 mo,Guida alle Razze
71-75,Verga dell'Allerta,85.000 mo,Manuale di Gioco
-,Verga Dolorosa,120.000 mo,Avventure Mitiche
-,Verga Cava,121.500 mo,Avventure Occulte
76-95,Metamagica (liv. incantesimo +3) Superiore,121.500 mo,-
-,Verga Caducea,142.000 mo,Avventure Occulte
96-100,Metamagica di RapiditÃ Superiore,170.000 mo,Manuale di Gioco
