d%,Oggetto,Prezzo,Fonte
01-04,Scettro del Sovrano,20.000 mo,Guida all'Equipaggiamento
05-06,Verga del Nimbo Ardente,22.305 mo,Guida all'Equipaggiamento
07-13,Verga dell'Individuazione dei Nemici,23.500 mo,Manuale di Gioco
14-27,Metamagica (liv. incantesimo +1) Superiore,24.500 mo,-
28-36,Verga dello Splendore,25.000 mo,Manuale di Gioco
37-44,Verga del Deperimento,25.000 mo,Manuale di Gioco
-,Verga del Sovraflusso,25.000 mo,Avventure Occulte
45-50,Verga del Legame con la Terra,26.500 mo,Guida alle Razze
51-56,Verga dell'Aboleth,29.000 mo,Guida all'Equipaggiamento
57-63,Verga del Liberatore,30.000 mo,Guida all'Equipaggiamento
-,Verga della Rabdomanzia,31.000 mo,Avventure Occulte
64-70,Metamagica (liv. incantesimo +2) Normale,32.500 mo,-
-,Verga delle Fatture Voraci,32.500 mo,Guida alle Classi
71-79,Verga dei Tuoni e Fulmini,33.000 mo,Manuale di Gioco
80-83,Metamagica di RapiditÃ Minore,35.000 mo,Manuale di Gioco
84-94,Verga della Negazione,37.000 mo,Manuale di Gioco
95-100,Verga della Salda Risolutezza,38.305 mo,Guida alle Razze
