d%,Oggetto,Prezzo,Fonte
01,Verga Metamagica Pietosa Minore,1.500 mo,Guida del Giocatore
02-34,Metamagica (liv. incantesimo +1) Minore,3.000 mo,-
-,Verga della Rifocalizzazione,5.000 mo,Avventure Occulte
35-49,Verga Inamovibile,5.000 mo,Manuale di Gioco
50-59,Verga della Forza Tonante,5.400 mo,Guida all'Equipaggiamento
60,Verga Metamagica Pietosa Normale,5.500 mo,Guida del Giocatore
61,Verga del Ghiaccio,8.500 mo,Guida all'Equipaggiamento
62-71,Metamagica (liv. incantesimo +2) Minore,9.000 mo,-
72-81,Verga dell'Individuazione dei Metalli e dei Minerali,10.500 mo,Manuale di Gioco
82-86,Metamagica (liv. incantesimo +1) Normale,11.000 mo,-
87-100,Verga della Cancellazione,11.000 mo,Manuale di Gioco
-,Verga delle Fatture Afferranti,11.000 mo,Guida alle Classi
-,Verga delle Fatture Interminabili,11.000 mo,Guida alle Classi
