d%,Oggetto,Prezzo,Fonte
01-03,Verga Conduttiva,12.000 mo,Guida all'Equipaggiamento
04-06,Verga Isolante,12.000 mo,Guida all'Equipaggiamento
07-10,Verga del Wayang,12.000 mo,Guida all'Equipaggiamento
11-18,Verga delle Meraviglie,12.000 mo,Manuale di Gioco
19,Verga Metamagica Pietosa Superiore,12.250 mo,Guida del Giocatore
20-29,Verga del Pitone,13.000 mo,Manuale di Gioco
30-33,Verga del Ruba Trappole,13.500 mo,Guida all'Equipaggiamento
34-55,Metamagica (liv. incantesimo +3) Minore,14.000 mo,-
56-59,Verga dell'Equilibrio,15.000 mo,Guida all'Equipaggiamento
60-63,Verga della Fuga,15.000 mo,Guida all'Equipaggiamento
64-72,Verga dell'Estinzione delle Fiamme,15.000 mo,Manuale di Gioco
73-76,Verga della Rovina,16.000 mo,Guida all'Equipaggiamento
77-80,Verga Arborea,16.650 mo,Guida all'Equipaggiamento
81-86,Verga della Seduzione,18.000 mo,Guida all'Equipaggiamento
87-90,Verga delle Ortiche,18.000 mo,Guida all'Equipaggiamento
91-100,Verga della Vipera,19.000 mo,Manuale di Gioco
