d%,Anello minore inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
01-07,Anello della Prigione del Prigioniero,Anello minore inferiore,Anello,250 mo,-,Guida del Giocatore
08-16,Anello dei Sigilli Arcani,Anello minore inferiore,Anello,1.000 mo,-,Guida del Giocatore
17-23,Anello della Conoscenza degli Incantesimi I,Anello minore inferiore,Anello,1.500 mo,-,Guida all'Equipaggiamento
26-40,Anello di Protezione +1,Anello minore inferiore,Anello,2.000 mo,-,Manuale di Gioco
41-47,Anello dell'Avida Tomba,Anello minore inferiore,Anello,2.000 mo,-,Guida all'Equipaggiamento
-,Anello della Magia di Stirpe Persistente,Anello minore inferiore,Anello,2.000 mo,-,Guida alle Classi
48-57,Anello della Caduta Morbida,Anello minore inferiore,Anello,2.200 mo,-,Manuale di Gioco
58-66,Anello dello Scalare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
67-75,Anello del Saltare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
76-84,Anello del Sostentamento,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
85-93,Anello del Nuotare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
-,Anello dell'Armonizzazione Naturale (Leshy),Anello minore inferiore,Anello,2.800 mo,-,Guida alle Classi
94-100,Anello dell'Azione Intensa,Anello minore inferiore,Anello,3.000 mo,-,Guida alle Razze
-,Anello della Magia di Stirpe Poderosa,Anello minore inferiore,Anello,3.000 mo,-,Guida alle Classi
-,Anello dell'Eloquenza,Anello minore inferiore,Anello,3.500 mo,-,Guida alle Classi
d%,Anello minore superiore,Prezzo,Peso,Fonte,,
01-15,Anello dei Controincantesimi,Anello minore superiore,Anello,4.000 mo,-,Manuale di Gioco
-,Anello della Magia di Stirpe Ancestrale,Anello minore superiore,Anello,4.000 mo,-,Guida alle Classi
16-25,Anello dei Folli Congegni,Anello minore superiore,Anello,5.000 mo,-,Guida del Giocatore
