0,1
d%,Armatura o Scudo Minore Inferiore
01-80,Armatura o scudo +1
81-100,Armatura o scudo specifico minore inferiore
d%,Armatura o Scudo Minore Superiore
01-26,Armatura o scudo +1
27-53,Armatura o scudo +2
54-80,Armatura o scudo +1 con una capacitÃ speciale +1
81-100,Armatura o scudo specifico minore superiore
d%,Armatura o Scudo Medio Inferiore
01-10,Armatura o scudo +1
11-20,Armatura o scudo +2
21-32,Armatura o scudo +3
33-44,Armatura o scudo +1 con una capacitÃ speciale +1
45-56,Armatura o scudo +1 con due capacitÃ speciali +1
57-68,Armatura o scudo +1 con una capacitÃ speciale +2
69-80,Armatura o scudo +2 con una capacitÃ speciale +1
81-100,Armatura o scudo specifico medio inferiore
d%,Armatura o Scudo Medio Superiore
01-10,Armatura o scudo +2
11-22,Armatura o scudo +3
23-32,Armatura o scudo +1 con una capacitÃ speciale +1
33-44,Armatura o scudo +1 con una capacitÃ speciale +2
45-56,Armatura o scudo +2 con una capacitÃ speciale +1
57-68,Armatura o scudo +2 con una capacitÃ speciale +2
69-80,Armatura o scudo +3 con una capacitÃ speciale +1
81-100,Armatura o Scudo Specifico Medio Superiore
d%,Armatura o scudo maggiore inferiore
01-10,Armatura o scudo +3
11-22,Armatura o scudo +4
23-32,Armatura o scudo +1 con una capacitÃ speciale +2
33-44,Armatura o scudo +1 con una capacitÃ speciale +3
45-56,Armatura o scudo +2 con una capacitÃ speciale +2
57-68,Armatura o scudo +3 con una capacitÃ speciale +1
69-80,Armatura o scudo +4 con una capacitÃ speciale +1
81-100,Armatura o scudo specifico maggiore inferiore
d%,Armatura o Scudo Maggiore Superiore
01-10,Armatura o scudo +4
11-20,Armatura o scudo +5
21-30,Armatura o scudo +4 con una capacitÃ speciale +1
31-38,Armatura o scudo +4 con una capacitÃ speciale +2
39-46,Armatura o scudo +4 con una capacitÃ speciale +3
47-51,Armatura o scudo +4 con una capacitÃ speciale +4
52-59,Armatura o scudo +5 con una capacitÃ speciale +1
60-67,Armatura o scudo +5 con una capacitÃ speciale +2
68-71,Armatura o scudo +5 con una capacitÃ speciale +3
72-74,Armatura o scudo +5 con due capacitÃ speciali +2
75-77,Armatura o scudo +5 con una capacitÃ speciale +4
78-80,Armatura o scudo +5 con una capacitÃ speciale +5
81-100,Armatura o scudo specifico maggiore superiore
