d%,CapacitÃ Speciale Armature +1,Prezzo Base  *,Fonte
01â06,Benevola,Bonus +1,Guida all'Equipaggiamento
07â12,Resistenza al Veleno,+2.250 mo,Guida all'Equipaggiamento
13-18,Bilanciata,Bonus +1,Guida all'Equipaggiamento
19-24,Amara,Bonus +1,Guida all'Equipaggiamento
25-30,Sostegno,Bonus +1,Guida all'Equipaggiamento
31-37,Campione,Bonus +1,Guida del Giocatore
38-43,Vile,Bonus +1,Guida del Giocatore
44-50,ImmortalitÃ,Bonus +1,Guida all'Equipaggiamento
51-56,Sprezzante,Bonus +1,Guida all'Equipaggiamento
57-63,Fortificazione (Leggera),Bonus +1,Manuale di Gioco
64-69,Dentellata,Bonus +1,Guida all'Equipaggiamento
70-75,Imperturbabile,Bonus +1,Guida all'Equipaggiamento
76-81,Specchio,Bonus +1,Guida all'Equipaggiamento
82-88,Accumula Incantesimi,Bonus +1,Guida all'Equipaggiamento
89-94,Antiemorragica,Bonus +1,Guida all'Equipaggiamento
95-100,Interdittiva,Bonus +1,Guida all'Equipaggiamento
-,Assicurante,Bonus +1,Guida alle Classi
-,Calmante,Bonus +1,Guida alle Classi
-,Risonante,Bonus +1,Avventure Mitiche
d%,CapacitÃ Speciale Armature +2,Prezzo Base  *,Fonte
01â12,Mascheramento,+2.700 mo,Manuale di Gioco
13-24,Torneo,+3.750 mo,Guida del Giocatore
25-38,Ombra,+3.750 mo,Manuale di Gioco
39-52,Scivolosa,+3.750 mo,Manuale di Gioco
53-64,Rapida,+4.000 mo,Guida all'Equipaggiamento
65-76,Strisciante,+5.000 mo,Guida all'Equipaggiamento
77-88,Rincuorante,+5.000 mo,Guida all'Equipaggiamento
89-100,Resistenza agli Incantesimi (13),Bonus +2,Manuale di Gioco
-,Carico,+4.000 mo,Guida alle Classi
-,Amorfa,+4.500 mo,Guida alle Classi
-,Riposante,+4.500 mo,Guida alle Classi
-,Nube Esplosiva,+5.000 mo,Guida alle Razze
-,Schiva Incantesimi,Bonus +2,Guida alle Classi
-,Stridente,Bonus +2,Guida alle Classi
d%,CapacitÃ Speciale Armature +3,Prezzo Base  *,Fonte
01-08,Adesiva,+7.000 mo,Guida all'Equipaggiamento
09-15,Attaccabrighe,Bonus +3,Guida all'Equipaggiamento
16-22,Ospitale,+7.500 mo,Guida all'Equipaggiamento
23-31,Brillante,+7.500 mo,Guida all'Equipaggiamento
32-40,Scavatrice,+10.000 mo,Guida all'Equipaggiamento
41-48,Putrida,+10.000 mo,Guida all'Equipaggiamento
49-57,Fortificazione (Moderata),Bonus +3,Manuale di Gioco
58-66,Tocco Fantasma,Bonus +3,Manuale di Gioco
67-75,InvulnerabilitÃ,Bonus +3,Manuale di Gioco
76-84,Resistenza agli Incantesimi (15),Bonus +3,Manuale di Gioco
85-92,Titanica,Bonus +3,Guida all'Equipaggiamento
93â100,Selvatica,Bonus +3,Manuale di Gioco
-,Rancorosa,+7.000 mo,Guida alle Classi
-,Irrintracciabile,+7.500 mo,Guida alle Classi
-,Percettiva,Bonus +3,Guida alle Classi
d%,CapacitÃ Speciale Armature +4,Prezzo Base  *,Fonte
01-16,Melodica,+15.000 mo,Guida all'Equipaggiamento
17-33,Ombra Migliorata,+15.000 mo,Manuale di Gioco
34-50,Scivolosa Migliorata,+15.000 mo,Manuale di Gioco
51-67,Resistenza all'Energia,+18.000 mo,Manuale di Gioco
68-83,Martirio,+18.000 mo,Guida all'Equipaggiamento
84â100,Resistenza agli Incantesimi (17),Bonus +4,Manuale di Gioco
-,Denegante,Bonus +4,Avventure Mitiche
d%,CapacitÃ Speciale Armature +5,Prezzo Base  *,Fonte
01-08,Giusto,+27.000 mo,Guida del Giocatore
09-15,Sovversivo,+27.000 mo,Guida all'Equipaggiamento
16-23,Iniquo,+27.000 mo,Guida del Giocatore
24-30,Vigilante,+27.000 mo,Guida all'Equipaggiamento
31-37,Determinazione,+30.000 mo,Guida del Giocatore
38-45,Ombra Superiore,+33.750 mo,Manuale di Gioco
46-53,Scivolosa Superiore,+33.750 mo,Manuale di Gioco
54-61,Resistenza all'Energia Migliorata,+42.000 mo,Manuale di Gioco
62-69,Forma Eterea,+49.000 mo,Manuale di Gioco
70-76,Controllo dei Non Morti,+49.000 mo,Manuale di Gioco
77-84,Resistenza all'Energia Superiore,+66.000 mo,Manuale di Gioco
85â92,Fortificazione (Pesante),Bonus +5,Manuale di Gioco
93â100,Resistenza agli Incantesimi (19),Bonus +5,Manuale di Gioco
Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.,Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.,Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.,Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.
