d%,Scudo Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
01-20,Scudo Pesante in Acciaio Vivente,Scudo minore inferiore,Scudo,120 mo,"7,5 kg",Guida all'Equipaggiamento
21-45,Buckler in Legnoscuro,Scudo minore inferiore,Scudo,203 mo,"1,25 kg",Manuale di Gioco
46-70,Scudo in Legnoscuro,Scudo minore inferiore,Scudo,257 mo,"2,5 kg",Manuale di Gioco
71-100,Scudo Pesante in Mithral,Scudo minore inferiore,Scudo,1.020 mo,"2,5 kg",Manuale di Gioco
d%,Scudo Minore Superiore,Prezzo,Peso,Fonte,,
01-30,Scudo Pelle di Zombi,Scudo minore superiore,Scudo,2.159 mo,"7,5 kg",Guida all'Equipaggiamento
31-75,Scudo dell'Incantatore,Scudo minore superiore,Scudo,3.153 mo,"2,5 kg",Manuale di Gioco
76-100,Buckler dello Scassinatore,Scudo minore superiore,Scudo,4.655 mo,"2,5 kg",Guida all'Equipaggiamento
d%,Scudo Medio Inferiore,Prezzo,Peso,Fonte,,
01-35,Scudo di Spine,Scudo medio inferiore,Scudo,5.580 mo,"7,5 kg",Manuale di Gioco
36-50,Scudo dello Sterminatore di Draghi,Scudo medio inferiore,Scudo,7.170 mo,"7,5 kg",Guida all'Equipaggiamento
-,Scudo degli Artigli,Scudo medio inferiore,Scudo,8.158 mo,4 kg,Guida alle Classi
51-65,Scudo Torre Pieghevole,Scudo medio inferiore,Scudo,8.170 mo,"7,5 kg",Guida all'Equipaggiamento
66-100,Scudo del Leone,Scudo medio inferiore,Scudo,9.170 mo,"7,5 kg",Manuale di Gioco
d%,Scudo Medio Superiore,Prezzo,Peso,Fonte,,
01-20,Scudo dell'Incantatore Superiore,Scudo medio superiore,Scudo,10.153 mo,"2,5 kg",Guida all'Equipaggiamento
21-40,Scudo Celestiale,Scudo medio superiore,Scudo,13.170 mo,"3,5 kg",Guida alle Razze
41-60,Scudo del Gorgo,Scudo medio superiore,Scudo,14.170 mo,5 kg,Guida all'Equipaggiamento
61-80,Scudo del Vulcano,Scudo medio superiore,Scudo,14.170 mo,5 kg,Guida all'Equipaggiamento
81-100,Scudo della Tempesta,Scudo medio superiore,Scudo,15.170 mo,5 kg,Guida all'Equipaggiamento
d%,Scudo Maggiore Inferiore,Prezzo,Peso,Fonte,,
01â20,Scudo del Camminamento,Scudo maggiore inferiore,Scudo,16.180 mo,"22,5 kg",Guida del Giocatore
21-40,Scudo Alato,Scudo maggiore inferiore,Scudo,17.257 mo,5 kg,Manuale di Gioco
41-60,Scudo della Frana,Scudo maggiore inferiore,Scudo,15.170 mo,5 kg,Guida all'Equipaggiamento
61-80,Scudo Fortezza,Scudo maggiore inferiore,Scudo,19.180 mo,"22,5 kg",Guida del Giocatore
81-100,Scudo dello Sterminatore di Dragoni,Scudo maggiore inferiore,Scudo,20.170 mo,"7,5 kg",Guida all'Equipaggiamento
-,Bastione dell'Eroe,Scudo maggiore inferiore,Scudo,22.170 mo,"7,5 kg",Avventure Mitiche
d%,Scudo Maggiore Superiore,Prezzo,Peso,Fonte,,
01-20,Scudo Torre dell'Interdizione agli Incantesimi,Scudo maggiore superiore,Scudo,25.180 mo,"7,5 kg",Guida all'Equipaggiamento
21-35,Buckler del Blocco Rapido,Scudo maggiore superiore,Scudo,36.155 mo,"7,5 kg",Guida all'Equipaggiamento
36-50,Scudo Bellicoso,Scudo maggiore superiore,Scudo,36.170 mo,"7,5 kg",Guida all'Equipaggiamento
51-65,Scudo Torre della Forza,Scudo maggiore superiore,Scudo,46.030 mo,11 kg,Guida all'Equipaggiamento
66-85,Scudo Assorbente,Scudo maggiore superiore,Scudo,50.170 mo,"7,5 kg",Manuale di Gioco
86-100,Scudo Eliseo,Scudo maggiore superiore,Scudo,52.620 mo,"22,5 kg",Guida alle Razze
