Bonus Arma,Prezzo Base  1
+1,2.000 mo
+2,8.000 mo
+3,18.000 mo
+4,32.000 mo
+5,50.000 mo
+6  2,72.000 mo
+7  2,98.000 mo
+8  2,128.000 mo
+9  2,162.000 mo
+10  2,200.000 mo
"1  Per le munizioni, questo prezzo vale per 50  Frecce  ,  Quadrelli  o  Proiettili per Fionda  o proiettili per arma da fuoco.","1  Per le munizioni, questo prezzo vale per 50  Frecce  ,  Quadrelli  o  Proiettili per Fionda  o proiettili per arma da fuoco."
2  Un'arma non puÃ² avere  Bonus di Potenziamento  maggiore di +5. Utilizzare queste linee guida per determinarne il prezzo quando vengono aggiunte delle capacitÃ speciali.,2  Un'arma non puÃ² avere  Bonus di Potenziamento  maggiore di +5. Utilizzare queste linee guida per determinarne il prezzo quando vengono aggiunte delle capacitÃ speciali.
