d%,CapacitÃ Speciale delle Armi +1,Modificatore Prezzo Base  1,Fonte
01,Imperturbabile,+3.000 mo,Guida all'Equipaggiamento
02,Mascheramento,+4.000 mo,Guida all'Equipaggiamento
03,Alleanza,Bonus +1,Guida del Giocatore
04-08,Anatema,Bonus +1,Manuale di Gioco
09,Benevola,Bonus +1,Guida all'Equipaggiamento
10,Richiamabile,Bonus +1,Guida all'Equipaggiamento
11-12,Conduttiva,Bonus +1,Guida del Giocatore
13-16,Corrosiva,Bonus +1,Guida del Giocatore
17,Contrastante,Bonus +1,Guida all'Equipaggiamento
18,Coraggiosa,Bonus +1,Guida all'Equipaggiamento
19,Crudele,Bonus +1,Guida alle Razze
20-21,Astuzia,Bonus +1,Guida del Giocatore
22,Letale,Bonus +1,Guida alle Razze
23-26,Difensiva,Bonus +1,Manuale di Gioco
27,Dissolvente,Bonus +1,Guida all'Equipaggiamento
28-33,Infuocata,Bonus +1,Manuale di Gioco
34-39,Gelida,Bonus +1,Manuale di Gioco
40-41,Furiosa,Bonus +1,Guida del Giocatore
42-45,Tocco Fantasma,Bonus +1,Manuale di Gioco
46-47,Fiammagrigia,Bonus +1,Guida del Giocatore
48,Isolante,Bonus +1,Guida all'Equipaggiamento
49,Guardiana,Bonus +1,Guida all'Equipaggiamento
50,Cercacuore,Bonus +1,Guida all'Equipaggiamento
51-52,Cacciatore,Bonus +1,Guida del Giocatore
53-54,Giurista,Bonus +1,Guida del Giocatore
55-59,Affilata  3,Bonus +1,Manuale di Gioco
60-61,Focalizza Ki,Bonus +1,Manuale di Gioco
62,Delineante,Bonus +1,Guida all'Equipaggiamento
63-64,Minacciosa,Bonus +1,Guida del Giocatore
65,Pietosa,Bonus +1,Manuale di Gioco
66-68,Incalzare Rafforzato,Bonus +1,Manuale di Gioco
69,Mimetica,Bonus +1,Guida all'Equipaggiamento
70,Neutralizzante,Bonus +1,Guida all'Equipaggiamento
71,Infausta,Bonus +1,Guida all'Equipaggiamento
72,Planare,Bonus +1,Guida all'Equipaggiamento
73,Estingui Fuoco,Bonus +1,Guida all'Equipaggiamento
74,Marina,Bonus +1,Guida all'Equipaggiamento
75-80,Folgorante,Bonus +1,Manuale di Gioco
81-85,Accumula Incantesimi,Bonus +1,Manuale di Gioco
86,Scongelante,Bonus +1,Guida all'Equipaggiamento
87-91,Lancio,Bonus +1,Manuale di Gioco
92-96,Tonante,Bonus +1,Manuale di Gioco
97,Valente,Bonus +1,Guida all'Equipaggiamento
98-100,Immorale,Bonus +1,Manuale di Gioco
-,Prensile,+2.500 mo,Guida alle Classi
-,Selettiva,+3.750 mo,Guida alle Classi
-,Furtiva,+5.000 mo,Guida alle Classi
-,Sacrosanta,+5.000 mo,Avventure Mitiche
-,Anatema Mitico,Bonus +1,Avventure Mitiche
-,Appariscente,Bonus +1,Guida alle Classi
-,Caccia Spiriti,Bonus +1,Guida alle Classi
-,Canto di Sangue,Bonus +1,Guida alle Classi
-,Confondente,Bonus +1,Guida alle Classi
-,Consacrata,Bonus +1,Guida alle Classi
-,Distraente,Bonus +1,Guida alle Classi
-,Fortuita,Bonus +1,Guida alle Classi
-,Ispirata,Bonus +1,Guida alle Classi
-,Rescindente,Bonus +1,Avventure Mitiche
-,Rispondente,Bonus +1,Guida alle Classi
-,Rissosa,Bonus +1,Guida alle Classi
-,Ruba Fato,Bonus +1,Guida alle Classi
d%,CapacitÃ Speciale delle Armi +2,Modificatore Prezzo Base  1,Fonte
01,Avanzante,Bonus +2,Guida all'Equipaggiamento
02-10,Anarchica,Bonus +2,Manuale di Gioco
11-19,Ancorante,Bonus +2,Guida all'Equipaggiamento
20,Assiomatica,Bonus +2,Manuale di Gioco
21-27,Esplosione Corrosiva,Bonus +2,Guida del Giocatore
28,Sprezzante,Bonus +2,Guida all'Equipaggiamento
29,Esplosione Dissolvente,Bonus +2,Guida all'Equipaggiamento
30-38,Distruzione  2,Bonus +2,Manuale di Gioco
39-47,Esplosione di Fiamme,Bonus +2,Manuale di Gioco
48,Furia Innata,Bonus +2,Guida all'Equipaggiamento
49,Gloriosa,Bonus +2,Guida all'Equipaggiamento
50-58,Sacra,Bonus +2,Manuale di Gioco
59-67,Esplosione di Ghiaccio,Bonus +2,Manuale di Gioco
68,Incendiaria,Bonus +2,Guida alle Razze
69,Impatto  4,Bonus +2,Guida all'Equipaggiamento
70,Rinvigorente,Bonus +2,Guida all'Equipaggiamento
71,Intensifica Ki,Bonus +2,Guida all'Equipaggiamento
72,Impulso Vitale,Bonus +2,Guida all'Equipaggiamento
73,Negante,Bonus +2,Guida all'Equipaggiamento
74,Blocca Fase,Bonus +2,Guida all'Equipaggiamento
75-83,Esplosione Folgorante,Bonus +2,Manuale di Gioco
84,Posta,Bonus +2,Guida all'Equipaggiamento
85-91,Sacrilega,Bonus +2,Manuale di Gioco
92-100,Ferimento,Bonus +2,Manuale di Gioco
-,Distraente Superiore,Bonus +2,Guida alle Classi
-,Mietitrice,Bonus +2,Avventure Mitiche
-,Possente,Bonus +2,Avventure Mitiche
d%,CapacitÃ Speciale delle Armi +3,Modificatore Prezzo Base  1,Fonte
01-20,Nullificante,Bonus +3,Guida all'Equipaggiamento
21-40,Riposizionante,Bonus +3,Guida all'Equipaggiamento
41-80,VelocitÃ,Bonus +3,Manuale di Gioco
81-100,Rubaincantesimi,Bonus +3,Guida all'Equipaggiamento
-,Appariscente Superiore,Bonus +3,Guida alle Classi
-,Estenuante,Bonus +3,Guida alle Classi
d%,CapacitÃ Speciale delle Armi +4 o +5,Modificatore Prezzo Base  1,Fonte
01-40,Energia Luminosa,Bonus +4,Manuale di Gioco
41-80,Danzante,Bonus +4,Manuale di Gioco
81-90,Vorpal  3,Bonus +5,Manuale di Gioco
91-95,Duello,+14.000 mo,Guida del Giocatore
