d%,Arma specifica minore inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
01-02,Proiettile Tracciante,Arma minore inferiore,Nessuno,100 mo,-,Guida al Combattimento
03-08,Freccia del Sonno,Arma minore inferiore,Nessuno,132 mo,"0,05 kg",Manuale di Gioco
09-10,Proiettile Nube di Polvere,Arma minore inferiore,Nessuno,196 mo,"0,25 kg",Guida del Giocatore
11-16,Quadrello Intralciante,Arma minore inferiore,Nessuno,226 mo,-,Guida del Giocatore
17-22,Quadrello Urlante,Arma minore inferiore,Nessuno,267 mo,"0,05 kg",Manuale di Gioco
23-32,Pugnale d'Argento Perfetto,Arma minore inferiore,Nessuno,322 mo,"0,5 kg",Manuale di Gioco
33-34,Proiettile dell'Alchimista,Arma minore inferiore,Nessuno,330 mo,"0,25 kg",Guida all'Equipaggiamento
35-44,Spada Lunga di Ferro Freddo Perfetta,Arma minore inferiore,Nessuno,330 mo,2 kg,Manuale di Gioco
45-50,Freccia Silenziante,Arma minore inferiore,Nessuno,547 mo,"0,025 kg",Guida all'Equipaggiamento
51-56,Freccia Silenziante Superiore,Arma minore inferiore,Nessuno,1.047 mo,"0,025 kg",Guida all'Equipaggiamento
57-66,Giavellotto del Fulmine,Arma minore inferiore,Nessuno,1.500 mo,1 kg,Manuale di Gioco
67-74,Freccia Incandescente,Arma minore inferiore,Nessuno,1.516 mo,-,Guida del Giocatore
75-82,Freccia Sfrigolante,Arma minore inferiore,Nessuno,1.516 mo,-,Guida del Giocatore
83-84,Proiettile Scavatore Inferiore,Arma minore inferiore,Nessuno,1.722 mo,-,Guida al Combattimento
85-92,Quadrello della Polvere,Arma minore inferiore,Nessuno,1.730 mo,"0,05 kg",Guida all'Equipaggiamento
93-100,Freccia Assassina,Arma minore inferiore,Nessuno,2.282 mo,"0,05 kg",Manuale di Gioco
d%,Arma specifica minore superiore,Prezzo,Peso,Fonte,,
01-20,Pugnale in Adamantio,Arma minore superiore,Nessuno,3.002 mo,"0,5 kg",Manuale di Gioco
21-40,Ascia da Battaglia in Adamantio,Arma minore superiore,Nessuno,3.010 mo,3 kg,Manuale di Gioco
41-50,Proiettile Scavatore Superiore,Arma minore superiore,Nessuno,3.447 mo,-,Guida al Combattimento
51-70,Freccia Assassina Superiore,Arma minore superiore,Nessuno,4.057 mo,"0,05 kg",Manuale di Gioco
71-80,Lancia del Torneo,Arma minore superiore,Nessuno,4.310 mo,5 kg,Guida del Giocatore
81-100,Spina Frantumante,Arma minore superiore,Nessuno,4.315 mo,2 kg,Manuale di Gioco
d%,Arma specifica media inferiore,Prezzo,Peso,Fonte,,
01-09,Kukri del Salasso,Arma media inferiore,nessuno,6.308 mo,1 kg,Guida all'Equipaggiamento
04-09,Mazza Testa di Macigno,Arma media inferiore,Nessuno,6.812 mo,4 kg,Guida del Giocatore
10-14,Randello del Colpo Bestiale,Arma media inferiore,Nessuno,7.300 mo,"1,5 kg",Guida del Giocatore
